Country,1960-1965,1966-1971,1972-1977,1978-1983,1984-1989,1990-1995,1996-2001,2002-2007,2008-2012,2013-2017,2018-2022
Sao Tome and Principe,559999.99,549999.98,5176666.52,6361666.68,20313333.35,57011665.98,34919999.76,33553332.96,48442000.96,46282000.73,64084001.92
kos,,,,,,,,,614889999.39,469629998.78,413772003.17
Burkina Faso,7131666.63,22345000.27,77496667.23,194860003.15,243436665.85,428683334.35,359658330.28,666581670.13,971807983.4,1017691992.19,1406390039.06
Slovenia,,,,,,30516667.21,72666666.03,52759998.32,,,
"Moldova, Republic of",,,,,,,90844000.24,166753335.32,381275997.92,336865994.26,521247998.05
Togo,7086666.6,16475000.06,39074999.81,91958332.7,152545000.71,181958330.79,99373332.34,75213333.13,392166006.47,229984002.69,416453997.8
Gibraltar,554999.99,2210000.0,4581666.63,5856666.64,15316666.79,1173333.34,95000.0,,,,
Kyrgyzstan,,,,,,132974999.9,185743334.45,209500000.0,364695999.15,585038006.59,507666003.42
Belize,2983333.33,5300000.03,7461666.66,15306666.53,22816666.6,26726666.45,22560000.42,13898333.63,24202000.05,37252000.43,47256000.14
Niger,6818333.35,30091666.86,101149999.62,185879999.8,297201665.24,349620000.2,255515004.48,476018335.98,652377996.83,952355993.65,1704058007.81
Mongolia,,,3400000.1,2666666.75,4734999.97,99968333.72,177658332.82,197524998.98,305806002.81,415006005.86,382637988.28
Panama,16223333.2,16899999.94,21185000.1,24941666.29,37946667.04,95703335.44,38521667.16,6145000.78,78778000.64,-21887998.77,95202000.43
Trinidad and Tobago,8083999.99,5841666.66,3126666.67,3001666.67,13071666.8,11038333.5,13721666.81,2709999.8,6776666.64,,
"Korea, Republic of",228408337.91,277805002.85,266711662.29,134765004.56,1389999.55,1876665.51,-103504996.3,,,,
Belarus,,,,,,,,72733333.59,113658000.18,11970000.84,162591998.67
"Venezuela, Bolivarian Republic of",15638333.45,16196666.48,360000.01,11429999.99,28158333.46,43481667.52,41768333.2,60958332.06,54400000.76,49561999.51,257223995.97
Papua New Guinea,20647499.39,117530000.05,240665000.92,306691670.74,304541669.21,347961669.92,295010002.14,260500000.0,500802008.06,578990002.44,868382006.84
Sierra Leone,11110000.13,9048333.33,14918333.21,64823333.1,79731666.56,164686668.4,166010002.14,388226669.31,412350000.0,708878002.93,629705987.55
Saint Kitts and Nevis,,,1961999.97,3306666.65,8091666.58,7430000.07,6605000.06,6571666.72,19826000.21,30049999.24,
Argentina,19904999.89,3756666.62,12313333.29,31575000.13,95494999.57,211863332.11,101706666.31,102060000.1,129233998.11,13219999.91,144634001.35
French Polynesia,,17454999.92,58020000.14,148621667.23,250985000.61,341708333.33,373332504.27,,,,
Bermuda,30000.0,36000.0,34000.0,156666.67,246666.67,2181666.53,-4070000.17,,,,
Comoros,,7786666.55,19013333.48,33056666.53,47516667.05,47494999.57,29848333.36,29293333.05,64002000.43,68594001.01,117511997.99
Zambia,7489999.95,29233332.95,63221665.7,256531664.53,378366666.16,999380004.88,592433344.52,1047526672.36,1038873986.82,989521997.07,1176369995.12
