Country,1970-1975,1976-1981,1982-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017,2018-2022
Lebanon,146666.67,4193333.43,12503333.25,3722000.07,2243999.98,1021999.99,1238000.01,1127975.21,1857579.72,4414833.55
Colombia,713333.33,1106666.64,2261666.68,2171999.98,2258000.02,1357999.98,1184000.0,1192929.97,1015083.12,1751006.01
Syrian Arab Republic,340000.01,428333.33,553333.33,819999.99,976000.0,951999.99,1650000.0,1157039.89,3710830.38,3878771.02
Somalia,293333.34,2273333.33,3113333.34,8469999.89,16748000.05,4578000.02,7422000.03,10969548.42,16417464.45,17389963.91
"Congo, The Democratic Republic of the",275000.0,1080000.0,2651666.68,7019999.98,8915999.98,14699999.81,25450000.0,56633373.26,61283122.25,68880331.42
Chile,366666.67,353333.33,113333.33,656000.0,1122000.0,971999.98,471999.99,698114.47,905625.09,
Mali,333333.33,1070000.0,2726666.59,5904000.0,6098000.05,4748000.0,8407999.9,13081567.96,16843328.48,19944609.83
Equatorial Guinea,10000.0,135000.0,116666.67,681999.99,1064000.01,799999.99,744000.01,545084.86,952971.07,996483.22
Suriname,28000.0,40000.0,15000.0,,115000.0,,,,,
South Sudan,,,,,,,,6638003.59,12292547.8,13020593.07
Saint Vincent and the Grenadines,,100000.0,30000.0,,,,,,,
"Palestine, State of",,,,,2884999.96,1604000.0,3564000.01,3880162.05,3968614.67,5871535.68
Kyrgyzstan,,,,,1121999.99,838000.01,1080000.01,1481716.45,1373951.05,1493716.05
Grenada,,23333.33,26666.67,,,,,,,
Costa Rica,115000.0,65000.0,108333.33,276000.01,792000.0,655999.99,609999.99,833169.81,866163.15,1179052.58
Malaysia,540000.0,469999.99,295000.0,338000.0,674000.0,552000.0,494000.0,600249.06,868374.62,927397.99
Samoa,10000.0,,,,,,,,,
Bahrain,34000.0,20000.0,190000.0,40000.0,,540000.02,,,,
India,10174999.95,22591666.7,36649999.94,62550000.0,55292000.58,30705999.76,32969999.69,40543685.91,53198966.22,54819017.79
