Country,1969-1973,1974-1978,1979-1983,1984-1988,1989-1993,1994-1998,1999-2003,2004-2008
Myanmar,424000.0,859999.99,1342000.03,1580000.01,2928000.02,3992000.01,4375999.98,4329999.95
Angola,,133333.34,416000.0,898000.0,1358000.02,1395999.99,2214000.03,2046000.0
North Macedonia,,,,,,288000.0,616000.0,871999.99
Kuwait,44000.0,40000.0,80000.0,68000.0,136000.0,246000.01,248000.0,370000.0
Bahrain,32000.0,60000.0,80000.0,78000.0,170000.0,242000.0,270000.0,70000.0
Syrian Arab Republic,422000.0,548000.0,811999.99,1304000.02,1854000.02,2383999.99,2572000.03,1792000.03
Bosnia and Herzegovina,,,,,,481999.99,516000.0,817999.99
Estonia,,,,,85000.0,292000.0,220000.0,280000.0
Dominican Republic,112000.0,204000.0,390000.0,620000.0,966000.01,1455999.97,1282000.02,1228000.0
Grenada,,40000.0,132500.0,160000.0,150000.0,276000.0,158000.0,227999.99
Israel,154000.0,204000.0,213333.33,50000.0,105000.0,240000.0,362000.01,70000.0
Barbados,30000.0,106000.0,102000.0,180000.0,196000.0,254000.0,480000.0,222000.0
Madagascar,156000.0,230000.0,618000.0,962000.0,1478000.02,1880000.02,2007999.99,2025999.95
Ecuador,246000.0,442000.0,736000.0,1206000.02,1824000.0,1670000.0,1792000.03,1850000.0
Gabon,176000.0,348000.0,346000.0,544000.0,783999.99,1093999.99,1203999.96,1418000.02
Eswatini,40000.0,144000.0,314000.0,482000.01,842000.0,1274000.02,1457999.97,1189999.98
Libya,134000.0,130000.0,228000.0,346000.0,678000.01,700000.0,768000.0,808000.0
Kiribati,20000.0,45000.0,165000.0,216000.0,324000.0,378000.0,431999.99,462000.01
Palau,,,,,,68000.0,118000.0,70000.0
Mauritius,120000.0,52000.0,222000.0,440000.0,546000.0,907999.99,916000.0,1127999.99
Lithuania,,,,,155000.0,418000.0,406000.0,330000.01
