Country,1970-1974,1975-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2023
Puerto Rico,-575820000.0,-1810620000.0,-4078780000.0,-6756280000.0,-10847220800.0,-16711760400.0,-24836325000.0,-28962925750.0,-33105400000.0,-33601500000.0,-34116450000.0,-34322275000.0
Bermuda,,,,,,,,,153876000.0,266263500.0,206085750.0,312653000.0
Nepal,0.0,64859740.0,247820260.0,15508000.0,462591400.0,475456200.0,450350000.0,3085000000.0,9090725000.0,23091110000.0,31882428175.0,40111538995.65
Germany,2167074200.0,4459700400.0,7199142000.0,14453970600.0,14419090600.0,-6366800000.0,-18226750000.0,27298500000.0,49933500000.0,64646000000.0,99771500000.0,138080500000.0
San Marino,,,,,,,,,,,-115645966.67,-145604650.0
Syrian Arab Republic,,,,,,,-85809500000.0,-114993000000.0,-175259250000.0,-140856140225.0,-330804750000.0,-944491500000.0
Honduras,-48440000.0,-151400000.0,-357000000.0,-517800000.0,-1567077600.0,-2718680600.0,-4643000000.0,-8628425000.0,-11184150000.0,-29059525000.0,-40484600000.0,-55063850000.0
Slovakia,,,,,,56780600.0,-548277250.0,-1591064250.0,-1354009000.0,-1147331750.0,-1837176250.0,-2177540000.0
Ireland,,,,,,-7409966800.0,-18439986000.0,-23411173750.0,-27921870500.0,-37985300250.0,-65946799500.0,-114631303333.33
Solomon Islands,-14066666.67,-31580000.0,-9040000.0,-13840000.0,-17780000.0,-39920000.0,-24308100.0,-83445400.0,-450283050.0,-174216275.0,-218371950.0,179311116.33
Armenia,,,,,-125862040.0,27868599020.0,42025364900.0,117309397100.0,161804813900.0,217873320000.0,124154110000.0,-230889719980.6
Nicaragua,-0.12,-0.22,-0.38,-130047.26,-1982107400.0,-2462290740.0,-2929771150.0,-3241233350.0,-5142451750.0,-11988298375.0,-18891392550.0,-33014007720.0
Mauritania,-58348738.0,-172080428.0,-238880190.0,-508418768.0,-662011706.0,146765040.0,635212250.0,-28547975.0,-1363469775.0,-6266223977.48,-3117045764.52,-2916362093.05
Qatar,-215839800.0,-1327000180.0,1786659980.0,1579660000.0,776901020.0,459014560.0,-3109500000.0,-14084000000.0,-38574419525.0,-32172500000.0,-8812250000.0,-18354750000.0
Ecuador,-78640000.0,-212960000.0,-873478000.0,-1151400000.0,-1014240000.0,-1090200000.0,-1365306500.0,-1843356250.0,-1234709750.0,-1463185500.0,-2499142750.0,-2372626250.0
Colombia,-4165453476.1,-11943564785.4,-70927239247.2,-492462457150.0,-1357132682680.0,-2209679120560.0,-6491903404225.0,-10666353632000.0,-19131000000000.0,-20586750000000.0,-18225500000000.0,-17332450848473.31
Gambia,-2486600.0,-182060.0,-12351700.0,82929060.0,-177367980.0,-229013140.0,-545213350.0,-651961025.0,-772586850.0,-1154813550.0,-1358422075.0,-1903516825.0
Haiti,,,-73639988.52,-108740353.1,-90216240.0,141403260.0,-338446875.0,-374675125.0,788471275.0,1947811575.0,3550161100.0,1975721987.5
Australia,-245400000.0,-647000000.0,-1855400000.0,-5828000000.0,-13822400000.0,-18482200000.0,-20491250000.0,-36536250000.0,-50051750000.0,-39767250000.0,-52806750000.0,-65410500000.0
