Country,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017,2018-2019,2020-2020,2021-2021,2022-2022
Brazil,292162.0,362448.5,394223.5,379735.0,352721.5,356748.5,449925.0,565429.0,745782.0,767491.0
Bulgaria,,9564.5,33204.5,40629.5,41014.0,46855.5,44612.0,35099.0,39544.0,39989.0
Afghanistan,,3653.0,4252.0,3374.0,2360.5,2735.0,4274.0,,,
Austria,4920.5,6480.0,5747.0,5829.0,6697.0,5988.0,5909.5,5087.0,5657.0,
United Arab Emirates,8238.0,8023.5,9133.5,12082.0,16143.0,16510.0,20250.0,19050.0,,
Bhutan,10.0,15.0,18.5,47.0,29.5,58.0,46.5,42.0,45.0,40.0
Spain,140354.5,86903.0,78456.0,87386.0,91647.0,95718.5,92785.0,77541.0,99159.0,96655.0
Sri Lanka,,4191.5,6886.0,6381.5,7128.5,8767.0,10510.0,,18105.0,17447.0
Malaysia,40785.0,41539.0,44794.0,46560.5,50035.5,49369.5,51339.0,47840.0,49048.0,51887.0
United Kingdom,427997.5,363226.5,427382.5,507596.5,598575.0,648066.5,674924.0,774854.0,766688.0,790311.0
"Micronesia, Federated States of",,,,,,,25.0,,,
Benin,152.0,190.5,243.0,913.5,2311.0,3289.0,3473.5,4256.0,5985.0,5560.0
South Africa,284010.5,281559.0,194776.0,248859.0,305339.0,386743.5,409253.5,490487.0,472324.0,434024.0
Mali,,312.0,698.0,1636.5,1633.5,1856.0,3592.0,2741.0,,
Rwanda,280.5,870.0,4840.0,8901.0,9942.5,10052.0,11549.5,16105.0,,
Guinea,,,,,1109.5,2099.0,3188.0,3497.0,4641.0,5026.0
Albania,1796.5,2525.0,1968.5,1997.5,2393.0,2831.0,2994.0,2757.0,3296.0,3365.0
Tonga,125.5,104.0,127.5,113.5,68.0,38.0,37.0,45.0,31.0,31.0
Namibia,692.5,929.0,788.0,1048.5,1169.0,1274.5,2002.5,852.0,1028.0,1153.0
Slovenia,4424.5,5964.0,5597.5,6142.0,5860.5,4375.5,4014.5,3565.0,3593.0,3720.0
Honduras,,1868.0,1997.5,1585.0,2230.5,2428.5,2735.0,2819.0,3447.0,3287.0
Malta,2521.5,2661.0,3165.0,4206.5,5193.0,5200.5,4964.0,3396.0,3261.0,2756.0
