Country,1990-1992,1993-1995,1996-1998,1999-2000,2001-2002,2003-2004,2005-2006,2007-2008,2009-2011
Singapore,,,,,,,,,0.06
Pakistan,,,,,,,,,0.06
New Zealand,,,,,,,,,0.06
Togo,0.37,0.59,0.54,0.42,0.36,0.32,0.3,0.29,0.27
Papua New Guinea,0.06,0.1,0.11,0.08,0.06,0.06,0.06,0.06,0.06
Azerbaijan,,,,,,,,,0.06
Colombia,,,,,,,,,0.06
Guinea-Bissau,0.06,0.12,0.18,0.22,0.26,0.28,0.3,0.31,0.31
Spain,,,,,,,,,0.06
Mongolia,,,,,,,,,0.06
Lao People's Democratic Republic,,,,,,,,,0.06
Belarus,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Senegal,0.06,0.06,0.06,0.1,0.11,0.1,0.08,0.06,0.06
Bangladesh,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Eritrea,0.17,0.21,0.16,0.12,0.06,0.06,0.06,0.06,0.06
Argentina,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Mauritius,,,,,,,,,0.06
Bahamas,0.5,0.45,0.42,0.38,0.36,0.32,0.28,0.25,0.2
Estonia,,,,,,,,,0.06
