Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2018,2019-2020
Philippines,681.47,747.3,850.83,849.9,835.17,822.3,880.8,985.9,1185.07,1380.6,1372.9
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenya,296.53,312.57,341.4,364.2,389.73,426.53,476.3,530.13,625.67,673.4,716.1
Ireland,203.51,210.01,245.24,296.99,318.05,357.34,334.15,300.14,315.75,323.99,300.19
Tunisia,89.3,98.5,108.77,122.8,132.57,141.73,158.67,161.83,175.63,187.65,183.0
Kuwait,93.67,141.9,162.1,198.4,232.67,287.8,346.03,364.97,388.37,415.5,390.85
Iceland,17.85,17.83,18.24,18.16,18.76,21.38,21.17,19.98,22.4,24.38,22.83
Czechia,690.35,641.97,696.93,711.0,764.59,809.93,831.49,814.7,823.49,851.51,826.51
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malaysia,430.5,515.53,661.63,810.07,968.5,1077.73,1221.93,1409.3,1770.7,1828.5,1931.7
Lao People's Democratic Republic,0.0,0.0,0.0,47.77,77.13,86.27,101.03,101.27,136.47,183.85,172.55
Ukraine,2466.0,1510.3,1164.63,995.73,1063.33,1156.4,1170.63,1195.1,959.6,878.4,844.3
Morocco,173.47,204.13,234.03,268.17,317.43,365.87,381.83,414.23,450.9,486.85,512.5
"Micronesia, Federated States of",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vanuatu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,68.63,68.67,79.07,83.97,88.57,94.9,101.73,109.67,119.0,125.0,125.2
Turkmenistan,123.4,81.67,86.67,111.27,139.17,155.7,176.23,198.8,220.03,222.55,222.55
Eswatini,39.47,38.7,36.23,36.77,35.13,35.8,38.8,45.1,46.17,44.65,46.45
Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,645.85,659.5,668.06,664.64,662.86,669.62,722.63,731.06,741.42,760.38,736.03
"Korea, Democratic People's Republic of",536.03,414.8,326.3,345.77,355.83,356.63,296.1,185.17,157.5,253.4,262.15
Sri Lanka,252.63,255.73,291.77,318.17,334.53,365.1,367.13,383.87,428.33,442.75,438.75
Viet Nam,716.93,801.0,865.17,964.67,1135.1,1269.9,1493.03,1611.85,1633.55,1859.03,2143.68
Saint Lucia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Venezuela, Bolivarian Republic of",755.67,829.13,860.57,923.55,985.25,1172.41,1296.75,1381.28,1208.25,930.88,677.98
Niger,67.97,74.93,94.77,81.1,74.67,81.83,93.57,100.53,131.1,138.65,154.55
Türkiye,1248.88,1366.36,1458.94,1371.36,1336.86,1471.92,1499.96,1580.16,1858.54,2144.47,2141.27
