Country,1935-1945,1946-1956,1957-1967,1968-1978,1979-1989,1990-2000,2001-2011,2012-2021
Antigua and Barbuda,,0.29,0.18,0.0,0.18,0.55,0.0,0.17
United Arab Emirates,,,,0.0,0.0,0.0,0.0,0.0
Tunisia,,,9.27,59.18,12.73,3.36,4.09,2.2
Indonesia,21.73,197.45,1030.18,337.82,398.82,543.45,16329.73,744.8
Maldives,,,,0.0,0.0,0.0,9.27,0.0
Croatia,,,,,,4.56,73.36,2.0
"Tanzania, United Republic of",,,1.0,5.91,0.91,42.0,17.27,24.6
Armenia,0.0,0.0,0.0,0.0,0.0,0.36,0.09,0.0
Kazakhstan,0.0,0.0,0.0,0.0,0.0,11.09,9.18,0.7
Chad,0.0,0.0,0.0,1.18,277.64,3.73,19.18,10.7
Denmark,0.0,0.0,0.0,0.0,1.0,0.73,0.45,1.0
"Bolivia, Plurinational State of",0.0,0.0,4.91,9.55,27.64,31.64,46.45,45.4
Jamaica,28.0,14.0,1.0,0.55,15.36,2.55,6.36,0.17
Gambia,0.0,0.0,0.0,0.0,0.0,4.82,1.82,2.2
Ethiopia,,,290.0,9100.45,27311.0,50.45,126.73,22.9
Tuvalu,,,,0.86,0.0,0.0,0.0,0.0
Belarus,0.0,0.0,0.0,0.0,0.0,0.64,0.45,7.0
