Country,1960-1966,1967-1973,1974-1980,1981-1987,1988-1994,1995-2001,2002-2008,2009-2015,2016-2022
Sao Tome and Principe,167.0,167.14,206.14,266.71,332.0,321.0,245.71,161.14,86.57
Zimbabwe,16344.57,17442.71,21209.86,20816.71,18519.14,20749.0,22825.86,22804.43,17931.0
"Palestine, State of",,,4248.4,3632.43,3399.29,3126.0,2724.71,2415.14,1991.86
Oman,5858.0,4984.43,4316.57,3402.14,1909.86,992.14,612.14,711.29,821.71
Samoa,389.14,311.0,230.43,173.86,134.86,111.57,92.57,98.86,89.57
Paraguay,4937.0,5061.57,5187.86,5416.71,4879.43,4105.0,3305.43,2725.86,2305.86
Ghana,43016.43,48470.43,50679.0,55229.57,48455.14,44406.57,41913.14,37722.43,30875.14
Ukraine,,18952.5,17163.43,15188.14,11078.86,7265.86,5417.43,4662.29,2837.86
Zambia,19379.71,22173.86,23796.57,30328.86,38850.57,40401.14,32172.29,28702.43,27037.29
Poland,28343.29,17030.0,15225.29,12543.86,7965.57,3998.14,2432.57,1900.57,1480.29
Nepal,96202.86,91958.43,87597.43,80924.43,68098.71,49814.57,32195.57,21646.0,15752.43
Mali,55452.0,55310.43,54621.86,52139.43,49597.57,50931.57,54044.57,55231.71,54962.43
Saint Kitts and Nevis,,,57.86,39.14,23.14,18.43,12.57,10.71,8.86
Azerbaijan,,,,16559.6,15623.71,10415.0,6601.43,5367.14,2755.57
Timor-Leste,,,,4413.5,3979.57,3183.29,2477.71,1883.43,1496.86
Nicaragua,11986.14,13123.86,12090.29,9449.14,7385.71,5107.14,3431.43,2631.0,2055.71
Senegal,22211.43,26031.14,26362.0,24315.71,22415.43,24771.29,22137.43,19154.57,16373.0
Bangladesh,424565.57,499609.14,505397.43,471742.29,354225.57,254817.0,178324.43,111675.86,80827.57
Panama,3094.71,2844.86,2207.86,1916.86,1639.57,1543.57,1348.29,1194.14,1039.29
Uruguay,3001.14,2721.0,2612.86,1434.14,1132.14,881.57,615.0,411.14,253.57
Montenegro,,,,211.0,143.29,122.71,78.57,38.86,20.29
Australia,4375.71,4380.71,2969.86,2283.29,1824.57,1341.29,1239.29,1106.57,984.29
