Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019
Russian Federation,147931575.0,148210369.33,146938606.33,143488643.33,132461125.0,115763207.0,96120136.33,57213925.0,41696432.0,29374098.0
Liberia,2039223.33,2002616.33,2421737.5,2833424.67,3078164.67,3329372.67,3689881.0,4019178.33,3790376.0,4434710.67
Germany,79287148.33,79930136.33,76045897.67,58966980.0,35506108.33,22801593.67,16457439.0,14095277.0,11471165.33,10445819.67
Uruguay,3131904.67,3197053.0,3136223.0,2967867.0,2831644.0,2400400.33,1925865.0,1536735.0,1223296.33,994060.67
Central African Republic,2881494.33,3134609.0,3391501.67,3638044.67,3874527.33,4105012.33,4263070.0,4307154.33,4327356.0,4466584.33
Equatorial Guinea,433100.33,479501.33,547103.0,605731.33,683422.33,774753.0,871526.33,886887.33,918752.67,965507.33
Namibia,1475416.33,1591563.33,1695643.0,1767529.0,1817962.33,1884893.33,1917782.67,1910561.67,1760855.67,1199756.33
Iraq,17903770.0,19547925.67,,24183970.0,25458303.67,27172789.33,28588784.0,29640490.67,24548226.33,19461995.33
Cameroon,12139165.67,13231684.33,14532649.5,15484233.67,16697192.0,17840040.67,19031545.0,19868171.33,18619711.33,19367875.33
El Salvador,5342863.67,5560332.0,5729886.0,5817374.0,5841373.33,5758569.33,5375436.33,4941696.33,4626403.33,4249243.67
Czechia,10346785.33,10245533.0,10035812.67,9215558.0,7043482.33,5660487.67,3625466.0,2890146.67,2602007.33,2123136.67
Saudi Arabia,16763055.67,18204840.0,19396339.0,20170673.67,20612681.67,19383527.0,16419372.0,13374101.67,9565460.0,3212762.67
Jamaica,2440092.33,2507877.33,2554685.67,2571341.33,2493065.67,2292034.33,2091535.67,1815948.33,1666912.0,1318481.0
Côte d'Ivoire,12366568.33,13735602.33,15123872.67,16405483.33,17476567.0,18486284.67,19623193.67,20108551.67,15528812.0,14465630.0
Somalia,7264831.67,7393367.67,7950976.33,8867446.33,9764123.67,10645187.33,11584250.0,12543263.0,13559361.67,14712555.33
