Country,1950-1968,1969-1987,1988-2006,2007-2025,2026-2044,2045-2063,2064-2082,2083-2100
Nepal,1608366.05,2364492.74,3354594.74,2845510.26,2279576.58,1676804.47,1253987.68,966079.22
Benin,382726.84,651135.16,1134008.32,1771661.21,2458923.42,3072260.84,3535932.37,3769606.44
Italy,4286539.89,3810850.89,2735130.21,2540899.21,2116929.42,1938076.79,1764790.05,1635353.44
Trinidad and Tobago,131642.89,132399.11,105779.79,91731.05,72184.0,62055.37,53506.47,46126.89
"Tanzania, United Republic of",1851967.16,3286749.21,5518414.89,9009867.42,13211827.95,17429955.53,20965726.11,23153850.39
Ghana,1185605.63,1939883.05,2900433.21,3943249.63,4763452.47,5371321.68,5593867.11,5466259.17
Bahamas,17254.11,25799.16,29159.89,28202.74,26718.37,24816.05,23785.47,22942.61
Philippines,4807957.21,7383451.58,10355556.68,11016620.95,10804455.16,9818147.63,8656677.21,7535731.28
Mongolia,156141.05,268921.47,269315.26,336017.95,330977.89,351393.74,330055.74,316771.39
Croatia,374400.84,321870.16,249206.26,196523.58,151055.26,130627.79,110268.0,96341.06
China,103428275.63,117014656.58,102121502.95,83727273.0,69479019.32,62735991.95,55754100.37,50120426.11
Latvia,162463.26,177078.68,137529.21,106777.53,72529.16,73770.84,61125.74,57064.72
Maldives,15045.63,28577.53,35927.68,34754.16,27539.37,25732.11,22559.21,20189.28
Bangladesh,8312532.16,13363915.26,16118101.11,14704485.95,12199563.0,9864433.95,8164205.68,6956141.33
Pakistan,7125058.53,12705690.74,20788784.58,26207935.95,28495911.95,28638873.84,26452395.37,23684894.89
Bahrain,26506.42,46595.37,69384.21,101970.68,109486.11,97577.26,93136.89,89810.17
Serbia,747922.84,745660.58,639522.21,443540.05,344229.84,281076.84,230814.68,189814.28
Sri Lanka,1540274.21,1863703.95,1720768.47,1702633.11,1448861.0,1194696.68,956692.32,727422.28
Papua New Guinea,377499.74,578151.89,825682.16,1068651.53,1259523.05,1369115.84,1392227.26,1334057.89
Suriname,53638.16,52128.79,53453.89,52347.47,48617.26,43148.42,37420.89,32141.22
"Bolivia, Plurinational State of",589141.21,849252.47,1114880.53,1193418.37,1196263.74,1117608.63,1012383.26,905132.11
Syrian Arab Republic,864232.84,1638008.42,2320705.11,2345224.58,2313575.42,2290915.26,1991252.05,1806046.89
Djibouti,15767.53,55736.37,102933.42,96900.42,89900.74,85475.58,76431.84,70802.44
Angola,930005.79,1510387.42,2890172.26,5285777.11,8238343.0,11421966.63,14346256.42,16520048.89
