Country,1965-1970,1971-1976,1977-1982,1983-1988,1989-1994,1995-1999,2000-2004,2005-2009,2010-2014,2015-2019
Thailand,0.1,0.18,0.23,0.23,0.41,0.59,0.61,0.68,0.75,0.86
Egypt,0.19,0.2,0.3,0.42,0.39,0.4,0.37,0.4,0.41,0.39
Spain,0.63,1.11,1.29,1.16,1.28,1.57,1.77,1.71,1.35,1.34
Singapore,3.01,3.48,4.07,4.95,7.8,8.9,9.13,10.46,11.86,12.64
Hungary,0.45,0.82,1.05,0.93,0.81,0.71,0.64,0.74,0.67,0.81
Iraq,0.19,0.28,0.43,0.7,1.01,1.22,0.95,0.84,0.98,0.93
Uzbekistan,,,,0.65,0.48,0.29,0.28,0.17,0.11,0.07
Kazakhstan,,,,1.2,1.13,0.62,0.55,0.64,0.68,0.81
Belgium,2.12,2.83,2.58,2.13,2.54,2.95,3.13,3.16,2.79,2.8
Canada,3.04,3.56,3.54,2.8,2.79,2.89,3.03,3.01,2.93,2.78
Kuwait,8.76,4.98,3.72,4.24,2.75,4.96,6.6,7.52,6.28,4.78
Chile,0.44,0.48,0.45,0.4,0.56,0.77,0.74,0.98,0.97,0.92
Ecuador,0.15,0.21,0.35,0.44,0.55,0.62,0.52,0.59,0.72,0.67
Denmark,2.85,3.42,2.83,1.99,1.81,2.07,1.79,1.66,1.39,1.32
Russian Federation,,,,1.73,1.53,0.89,0.86,0.9,1.0,1.01
Croatia,,,,,0.76,0.91,0.97,1.05,0.77,0.81
Israel,1.63,1.76,2.03,1.78,2.02,2.24,2.04,1.73,1.5,1.35
Cyprus,0.89,1.31,1.28,1.65,2.19,2.49,2.66,2.79,2.28,2.18
Romania,0.44,0.6,0.79,0.68,0.62,0.54,0.47,0.48,0.43,0.5
"Korea, Republic of",0.14,0.36,0.6,0.69,1.48,2.18,2.18,2.14,2.14,2.35
North Macedonia,,,,,0.51,0.49,0.43,0.47,0.45,0.49
Japan,1.34,2.24,2.1,1.77,2.01,2.09,1.95,1.78,1.6,1.42
Colombia,0.23,0.27,0.28,0.27,0.3,0.33,0.25,0.25,0.29,0.32
Viet Nam,0.11,0.08,0.03,0.04,0.05,0.08,0.12,0.15,0.19,0.24
Australia,1.66,2.07,2.11,1.9,1.93,2.04,2.0,1.99,1.98,1.94
Azerbaijan,,,,1.22,1.09,0.75,0.55,0.5,0.44,0.47
Poland,0.22,0.36,0.47,0.45,0.4,0.48,0.52,0.64,0.66,0.76
Sweden,3.03,3.33,3.66,2.67,2.06,2.05,1.87,1.79,1.48,1.34
Belarus,,,,2.85,2.02,0.94,0.82,0.88,0.88,0.74
France,1.42,2.22,2.02,1.56,1.6,1.59,1.57,1.45,1.22,1.13
