Country,1991-1992,1993-1994,1995-1996,1997-1998,1999-2000,2001-2002,2003-2004,2005-2006,2007-2008,2009-2010,2011-2011,2012-2012
Central African Republic,-12.94,-13.16,-5.42,421.51,682.45,540.61,629.09,654.31,626.21,464.97,522.74,522.74
Bosnia and Herzegovina,-18.63,-50.45,-55.01,-52.53,165.96,-46.15,2.35,-34.28,19.88,-5.88,-7.25,-7.25
Namibia,0.0,0.0,0.0,18925.0,54576.62,50288.75,50758.5,57051.12,53401.25,68584.75,65222.5,65222.5
Seychelles,-281.25,-25.0,37.5,-118.75,-93.75,-81.25,-50.0,262.5,25.0,112.5,-75.0,0.0
Mauritius,19.29,236.33,1024.18,2320.85,4593.85,8560.84,13796.76,20350.91,25710.03,31130.75,32424.33,32424.33
Samoa,0.0,0.0,0.0,-50.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Tuvalu,-80.0,-190.0,-60.0,-80.0,-80.0,-200.0,-140.0,-120.0,-20.0,-400.0,-620.0,-620.0
Sudan,0.0,0.0,0.0,5160.54,10086.92,8685.95,9197.84,8581.3,9223.64,8047.25,7326.2,7326.2
Afghanistan,0.0,0.0,0.0,-48.12,-21.45,-22.89,155.28,-56.7,-33.26,58.46,118.12,118.12
Argentina,-8.79,-19.65,-27.39,28.92,123.21,137.83,227.91,172.07,266.82,154.63,100.45,100.45
Iceland,-2.4,-5.03,-5.11,-52.18,-98.15,-99.23,-99.21,-98.93,-98.48,-98.76,-98.59,-98.59
Dominican Republic,17.05,20.4,21.14,-9.25,18.83,-7.7,-76.23,32.05,-74.86,-76.81,-69.7,-69.7
Croatia,-45.99,-68.15,-65.03,-58.73,-69.46,-84.48,-79.56,-90.53,-82.98,-87.3,-89.99,-89.99
Switzerland,-21.08,-16.17,-39.2,-52.5,-60.24,-47.63,-37.73,-25.16,-11.61,-6.13,-5.53,-5.53
Guyana,-1.85,-4.33,-9.02,-38.4,-99.79,-98.52,-95.91,-99.82,-99.43,-97.64,-99.86,-99.86
Uganda,2.08,4.86,7.64,157.19,171.34,129.05,249.52,201.6,223.71,107.87,168.1,168.1
Papua New Guinea,101.47,69.51,27.23,158.79,-93.16,80.87,-62.75,-80.47,-91.71,-88.35,-90.32,-90.32
Syrian Arab Republic,-0.83,-1.94,-3.06,903.66,542.64,1818.79,1253.6,640.36,479.45,916.7,983.41,983.41
Guinea,-12.42,-12.63,-5.19,50.45,43.9,48.4,21.58,31.17,26.9,14.36,1.04,1.04
Liberia,-1.45,1.02,5.48,990.45,480.13,-46.09,-1.36,-29.01,26.22,47.24,97.16,97.16
Kiribati,0.0,0.0,0.0,-50.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Yemen,-0.83,-1.94,-3.06,1914.72,2833.33,-16.67,216.67,266.67,200.0,433.33,433.33,433.33
