Country,2000-2002,2003-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017,2018-2019,2020-2021
Chile,42.64,42.36,39.97,36.01,34.48,33.52,34.39,34.03,33.02,29.79
Syrian Arab Republic,58.96,51.08,51.69,53.51,53.68,53.69,,,,
Nauru,3.13,5.51,3.13,2.65,2.17,0.91,1.19,1.01,0.77,0.69
Sao Tome and Principe,38.29,30.19,32.16,24.22,20.24,16.02,15.54,14.33,16.4,11.75
Bosnia and Herzegovina,40.71,40.16,44.64,37.26,29.78,29.14,28.86,28.86,29.33,29.78
Montenegro,,,,,38.8,38.99,38.42,40.2,39.08,37.32
Cabo Verde,24.04,24.2,23.36,24.34,26.99,24.41,26.71,27.98,26.6,19.68
Greece,36.14,37.91,35.13,30.86,29.71,32.09,36.62,34.65,34.86,33.38
Hungary,27.93,26.02,26.03,26.61,27.84,28.89,27.92,27.47,27.29,25.4
Azerbaijan,70.19,64.77,54.44,57.22,61.21,64.61,68.34,70.94,72.37,61.93
Kazakhstan,45.71,40.0,31.92,23.69,25.95,26.89,27.95,34.4,33.66,26.38
Bulgaria,41.29,38.71,42.62,43.5,43.8,44.8,41.38,43.3,39.75,35.83
Russian Federation,30.74,33.01,31.29,33.06,34.76,34.11,37.24,40.48,37.44,26.82
Latvia,48.03,43.63,36.22,38.04,35.74,38.14,39.82,42.72,37.28,29.54
"Moldova, Republic of",48.55,43.08,45.78,47.0,42.61,42.4,42.27,44.96,37.89,30.18
Italy,25.02,22.72,21.42,21.0,21.29,22.16,23.0,23.56,23.51,21.68
