Country,1990-1995,2000-2005,2010-2011,2012-2013,2014-2015,2016-2016,2017-2017,2018-2018,2019-2019
Cuba,19.83,19.85,18.5,19.12,19.81,19.35,18.38,18.22,17.73
Mozambique,22.12,22.34,23.43,23.65,23.78,23.13,22.14,21.54,20.77
Greece,20.22,19.94,19.4,17.03,15.89,14.47,14.44,14.52,14.25
Japan,12.93,12.42,12.1,13.24,13.56,13.36,13.57,13.48,13.47
Finland,8.47,7.31,7.11,6.17,6.0,5.59,5.26,5.6,5.57
Jamaica,14.42,15.19,14.5,14.89,15.63,15.39,15.42,15.37,15.29
United States,13.16,11.43,9.24,8.76,8.3,7.38,7.74,7.78,7.66
Congo,37.42,37.72,38.28,40.04,39.84,40.37,38.37,39.51,39.3
Armenia,31.8,31.5,37.66,39.48,37.69,34.24,34.91,34.03,33.66
Costa Rica,16.43,18.08,18.84,19.03,18.42,17.9,17.44,17.53,17.42
Gambia,60.13,57.42,55.95,56.82,57.71,57.52,61.42,58.0,58.08
Luxembourg,15.59,12.83,13.01,11.7,10.38,9.92,9.85,10.14,10.07
Guyana,22.56,24.34,21.33,22.0,22.11,22.33,21.43,20.83,20.1
South Africa,28.97,27.86,29.43,28.97,29.12,28.72,28.86,28.75,28.67
Syrian Arab Republic,32.92,30.54,34.16,32.43,33.32,31.87,31.4,31.37,30.95
Poland,32.8,27.34,27.18,24.15,23.34,21.82,22.78,22.75,22.64
United Arab Emirates,43.61,43.42,44.72,45.99,43.5,43.22,43.82,43.81,43.67
Yemen,45.57,46.06,46.79,52.91,46.01,44.95,46.44,45.14,44.47
Slovenia,26.13,21.68,20.07,18.51,17.99,16.53,16.71,17.08,16.97
Türkiye,26.04,26.38,28.26,27.47,28.2,27.78,26.29,26.54,26.03
Netherlands,19.25,16.05,15.6,13.27,12.42,11.52,12.42,12.08,12.04
Eritrea,43.39,43.53,43.34,44.63,41.11,41.33,43.85,43.48,44.07
Tajikistan,34.42,36.88,40.27,41.76,39.3,38.14,38.48,38.14,38.32
Sierra Leone,49.29,50.06,48.68,46.86,50.64,53.91,50.18,50.87,51.1
Cambodia,27.57,28.4,26.88,26.52,24.15,24.83,22.02,22.29,22.11
Mexico,32.22,26.78,23.17,23.21,22.08,21.27,20.42,20.39,20.12
Spain,13.38,13.01,11.97,10.77,10.18,9.58,9.75,9.77,9.73
