Country,1990-1995,2000-2005,2010-2011,2012-2013,2014-2014,2015-2015,2016-2016,2017-2017
Myanmar,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Israel,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Papua New Guinea,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Portugal,51.68,54.14,55.23,30.89,25.18,27.46,14.72,16.01
Sweden,6.3,4.49,5.11,3.54,3.68,3.56,3.6,3.64
Nicaragua,100.0,99.94,99.94,99.94,99.93,99.93,99.9,99.9
Argentina,99.59,99.48,99.49,99.12,98.31,98.02,94.14,93.85
Netherlands,100.0,100.0,100.0,99.94,99.83,99.81,99.6,99.6
Canada,14.56,15.31,16.19,7.48,2.02,0.73,0.0,0.0
Cuba,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Saint Vincent and the Grenadines,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Haiti,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Costa Rica,100.0,100.0,100.0,100.0,100.0,99.98,99.72,99.69
"Korea, Republic of",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Japan,92.52,91.92,92.57,89.47,87.82,88.67,75.41,76.76
Slovakia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kyrgyzstan,99.91,99.86,100.0,99.81,98.07,99.11,97.41,97.43
Cameroon,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
