Country,2006-2010,2011-2013,2014-2016,2017-2019,2020-2022
Indonesia,398880500.0,171251666.67,179669333.33,1069082000.0,1161063333.33
Kazakhstan,3412853500.0,-1136910333.33,-1292957000.0,164315000.0,-18574000.0
Georgia,,750000000.0,152000000.0,451709333.33,-74648333.33
Madagascar,,,,,420000000.0
Türkiye,1039242750.0,4931105000.0,2975412666.67,-11621000.0,-3152395333.33
Cambodia,,,,300000000.0,125000000.0
Thailand,-89250750.0,1068333333.33,937646000.0,1336072666.67,1304953333.33
South Africa,1921333333.33,1036460333.33,-810243333.33,400063000.0,-638196333.33
Lebanon,-112750000.0,200000000.0,,50000000.0,
Honduras,,,,,300000000.0
Mongolia,,900000000.0,109354000.0,265500333.33,-224431666.67
Guatemala,-50000000.0,175000000.0,397500000.0,175000000.0,733333333.33
"Moldova, Republic of",,,,,500000000.0
Colombia,739750000.0,2806666666.67,242162666.67,445000000.0,-744027333.33
India,3026665250.0,-1577500333.33,982169000.0,3195899333.33,5029170000.0
Belarus,,,,,184764000.0
Dominican Republic,421204000.0,-65311500.0,352783333.33,-550000000.0,-194175000.0
Saint Kitts and Nevis,0.0,,,,
Djibouti,,,,,219478000.0
Argentina,1080226500.0,32024000.0,1708118333.33,2538093666.67,-1062435333.33
Botswana,,79689000.0,-79689000.0,,
Romania,,83831666.67,-13435666.67,630893333.33,1305597000.0
Lao People's Democratic Republic,,,279028500.0,41966666.67,189047500.0
Uzbekistan,,,,300000000.0,300000000.0
Panama,86970333.33,473333333.33,-610137333.33,667173333.33,
