Country,1973-1978,1979-1984,1985-1990,1991-1996,1997-2002,2003-2007,2008-2012,2013-2017,2018-2022
Kazakhstan,,,,17362000.0,27630166.67,-46114000.0,-4444666.67,,
Russian Federation,,,,379218600.0,-20800833.33,9720163400.0,7612895200.0,-3170164200.0,-12650244600.0
Guinea,5219000.0,2115800.0,-6699666.67,,-6875250.0,-131000.0,,,103811000.0
Algeria,754544166.67,-91633500.0,180745500.0,-305861666.67,-315266166.67,-379171000.0,-14703400.0,-21085000.0,-3098600.0
Egypt,85516250.0,-6223333.33,55146333.33,-58037000.0,6609500.0,25332200.0,-30511200.0,443660800.0,2767577600.0
Cameroon,14894200.0,19830500.0,29115666.67,-16340500.0,-4515200.0,-5376000.0,18904500.0,48065800.0,31785600.0
"Iran, Islamic Republic of",,-45000000.0,-852800.0,44638400.0,355656000.0,330908000.0,-519749200.0,-365952000.0,17022400.0
"Bolivia, Plurinational State of",89283333.33,714166.67,-1254200.0,128166.67,1387333.33,375800.0,26907600.0,-1422800.0,17028000.0
Saint Kitts and Nevis,,0.0,0.0,0.0,19834666.67,-10004800.0,-12405333.33,,
Djibouti,,1835750.0,-985833.33,,,,-1530000.0,-1775666.67,
Burundi,1083800.0,3295833.33,-4880833.33,-1197000.0,,,,,
Nigeria,227257000.0,396534000.0,-387355500.0,-53667000.0,,13911600.0,2587000.0,,511886000.0
Fiji,,12793000.0,-6749333.33,-1803166.67,-96500.0,,,,
Syrian Arab Republic,,,,,,,-1912400.0,-68200.0,-426200.0
Serbia,11788833.33,264100333.33,-368233333.33,-506802000.0,0.0,16713600.0,142995400.0,-132279600.0,121294000.0
Yemen,,,20000000.0,,1202000.0,-289400.0,-1003600.0,-736500.0,
Chad,,504000.0,,,,,,-2000.0,
Iraq,,,,,,,,,126950200.0
Suriname,,,,,,,,39091333.33,2566250.0
Armenia,,,,,0.0,,6342500.0,9546800.0,-2229800.0
Peru,229850166.67,239329000.0,22120166.67,-105613333.33,-33165833.33,-9480800.0,-6743000.0,-1211000.0,
Romania,,494515666.67,-761840600.0,-160494750.0,297823166.67,295687200.0,-574825400.0,-262343200.0,-85044000.0
Bulgaria,,418031500.0,677982333.33,-41435666.67,-3302500.0,9951800.0,-7088600.0,-235800.0,-385800.0
Bhutan,,,,,,,9680750.0,632400.0,-4460600.0
kos,,,,,,,,2063000.0,4943400.0
