Country,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2021,2022-2022
Tunisia,,,,,,13.83,,
Afghanistan,,,45.06,,42.8,36.75,23.97,
Italy,31.98,32.51,35.16,34.85,34.13,36.94,35.56,34.13
Maldives,,,14.75,20.18,,21.13,,
Senegal,,,,24.52,16.04,12.12,,
Austria,41.39,41.43,42.99,44.58,45.08,45.88,49.28,49.3
"Moldova, Republic of",17.36,15.72,17.9,21.03,17.4,13.0,9.63,8.98
Botswana,15.47,,,,,24.53,20.45,24.62
Madagascar,44.71,49.55,,45.3,,,,36.55
Cyprus,30.4,28.16,33.73,32.42,29.28,33.7,34.89,33.48
India,,,,,14.66,15.76,19.09,20.85
Finland,43.36,42.8,43.26,42.8,43.84,44.12,45.66,46.19
Lesotho,,,,,,11.3,,
Guatemala,36.7,31.14,28.94,29.36,,,,
Kyrgyzstan,37.53,38.58,37.56,33.64,28.99,30.36,28.73,
Mexico,28.04,27.4,26.94,26.47,25.22,29.06,27.15,25.43
Iraq,,34.74,28.18,,23.91,,21.29,
Australia,43.8,44.66,44.7,44.6,46.18,45.32,,
Belarus,,,,17.82,16.34,16.24,15.59,15.23
