Country,1984-1986,1987-1989,1990-1992,1993-1994,1995-1996,1997-1998,1999-2000,2001-2002
Algeria,,,430.67,,118.0,863.0,,111.0
Seychelles,1.5,5.0,,,3.5,,,
Iceland,34.67,49.33,38.33,21.5,34.5,38.0,21.5,42.0
"Korea, Republic of",2175.67,2825.33,8984.33,11565.0,14515.0,24580.0,48800.0,39990.0
Egypt,293.67,190.33,333.0,454.5,298.0,118.0,431.5,593.5
Colombia,268.67,541.33,336.5,485.0,367.5,476.0,592.5,367.5
Bangladesh,112.67,85.0,77.67,87.0,80.0,140.0,,
Samoa,4.0,,,7.0,1.5,,,
Kenya,109.0,95.33,47.67,64.5,95.5,90.0,105.5,100.0
Austria,9109.0,10635.67,13630.0,17750.0,16820.0,15490.0,12810.0,17360.0
Ecuador,123.0,66.67,81.0,38.5,124.5,212.0,142.0,21.0
Pakistan,,,446.67,489.5,506.5,,381.0,350.0
Bahrain,35.33,,26.0,,,,,
Malawi,37.67,73.67,64.33,64.5,95.0,62.5,97.0,76.5
Netherlands,12060.0,13930.0,18266.67,24000.0,23040.0,23100.0,19225.0,24050.0
Viet Nam,9.5,23.0,24.0,17.5,58.5,111.0,608.5,
Cuba,130.33,73.33,23.67,72.0,63.5,50.0,70.0,
United States,69906.67,85470.0,94773.33,100020.0,105500.0,129750.0,155500.0,166650.0
Ethiopia,,,,,,,1.0,
Kazakhstan,,,,1351.0,1221.0,1358.5,1485.0,1280.0
Bosnia and Herzegovina,,,,,,,3.0,
South Africa,6754.67,5661.67,5825.0,5128.0,5453.0,,,
"Iran, Islamic Republic of",210.33,120.33,263.33,201.0,166.0,249.5,385.0,881.0
Ukraine,,,226.0,3296.0,2810.0,6728.5,3533.0,11670.0
Iraq,83.67,118.67,66.0,48.0,39.0,,,
