Country,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2022
Israel,81.26,84.11,87.0,89.92,92.88,95.5
Malaysia,76.36,77.01,78.32,80.43,82.74,85.25
Greece,78.14,80.97,83.78,86.56,89.5,91.86
Zimbabwe,27.56,27.33,26.85,30.54,33.24,32.0
Costa Rica,24.68,24.08,23.71,24.04,24.61,25.17
Liechtenstein,96.22,96.22,96.22,96.22,96.22,96.22
Latvia,66.89,68.04,72.18,76.77,81.83,84.96
Uganda,14.39,15.08,15.76,16.44,17.09,17.65
Central African Republic,19.61,18.89,17.35,15.88,14.47,13.4
Bulgaria,55.57,57.57,60.22,64.22,68.89,72.45
Hungary,65.3,68.2,74.0,80.4,86.76,87.81
"Palestine, State of",43.98,45.51,50.86,56.93,63.11,68.58
American Samoa,44.55,44.43,43.14,39.89,37.25,36.98
Bahrain,86.41,87.63,88.73,89.82,90.89,91.92
Lebanon,17.98,19.58,21.56,23.54,25.5,25.77
Ecuador,40.04,40.38,40.97,41.5,41.89,41.75
Netherlands,97.44,97.45,97.46,97.48,97.49,97.5
Paraguay,43.53,46.14,48.58,50.89,53.09,54.77
Sao Tome and Principe,14.56,18.62,22.57,26.54,30.52,33.66
Morocco,49.78,52.61,54.81,56.99,59.18,60.87
Norway,76.61,76.87,77.15,77.43,77.72,77.99
Lithuania,81.0,82.55,84.39,88.28,92.58,94.79
Bangladesh,12.1,14.97,17.84,21.05,25.8,30.05
Azerbaijan,43.07,51.32,58.8,66.0,68.72,
Finland,86.72,87.36,88.01,88.65,89.29,89.85
Kenya,24.94,26.3,27.6,28.85,30.09,31.19
Ireland,56.81,62.44,68.69,75.19,79.19,79.72
Saudi Arabia,79.21,79.35,79.49,79.63,79.77,79.89
Peru,13.19,20.61,28.67,37.32,46.57,55.15
Benin,1.22,1.5,1.81,2.13,2.46,2.69
