Country,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017,2018-2019,2020-2020,2021-2021,2022-2022
Uganda,22.22,25.94,29.65,33.37,37.09,40.81,43.6,45.46,47.32
Malawi,30.88,30.44,30.0,29.56,29.12,28.68,28.35,28.13,27.91
Mexico,90.65,90.65,90.65,91.2,91.93,92.66,93.21,93.58,93.94
Thailand,,86.67,86.67,86.67,86.67,86.67,86.67,86.67,86.67
Saint Lucia,87.94,87.94,87.94,87.94,87.94,,,,
El Salvador,,92.42,92.42,92.42,92.42,92.42,,,
Tunisia,96.92,96.65,95.56,94.46,93.37,92.28,91.46,91.46,91.46
Sao Tome and Principe,32.44,32.44,34.13,40.89,47.64,54.4,59.46,62.84,62.84
Comoros,17.87,17.87,17.87,17.87,17.87,,,,
Haiti,32.35,32.08,31.02,29.96,28.9,27.83,27.57,27.57,27.57
Bangladesh,43.07,46.17,50.3,54.43,58.56,62.7,65.79,67.86,67.86
Kyrgyzstan,90.3,90.77,92.62,94.48,96.34,98.2,,,
Lao People's Democratic Republic,,,73.31,73.31,73.31,73.31,73.31,73.31,
Algeria,88.26,88.26,88.22,88.17,88.12,88.06,88.03,88.0,88.0
Congo,,56.11,56.11,56.11,56.11,56.11,,,
Central African Republic,20.54,22.92,25.3,27.69,30.07,32.45,34.24,35.43,35.43
Tuvalu,,,,,92.72,92.72,92.72,92.72,92.72
Madagascar,40.69,39.97,39.26,38.54,37.82,37.1,36.56,36.2,35.84
Togo,18.17,19.84,21.51,23.17,24.84,26.51,26.93,26.93,26.93
Solomon Islands,,70.67,70.67,70.67,70.67,70.67,,,
Iraq,94.92,95.29,95.78,96.26,96.75,97.24,97.6,97.6,97.6
