Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019
"Bolivia, Plurinational State of",100.0,99.98,99.57,98.49,96.31,92.69,82.77,65.89,63.38,56.17
Argentina,100.0,99.95,99.58,93.3,87.06,78.47,64.3,44.43,32.1,25.71
Eritrea,100.0,100.0,99.99,99.89,99.77,99.71,99.46,99.2,98.92,98.69
Cameroon,100.0,100.0,99.99,99.78,99.36,97.88,96.15,92.5,79.97,76.8
Grenada,100.0,100.0,99.08,96.11,82.34,78.61,75.26,67.67,46.24,40.93
South Sudan,,,,,,,,96.17,94.43,92.02
Oman,100.0,100.0,99.57,96.02,93.04,89.45,72.46,41.85,26.47,15.74
Comoros,100.0,100.0,99.98,99.71,99.09,97.77,96.13,94.01,92.54,91.52
Cabo Verde,100.0,100.0,99.65,98.11,95.61,92.95,78.33,65.25,55.58,42.17
Singapore,99.79,98.39,86.2,66.06,45.72,36.7,30.33,25.37,19.17,12.81
"Korea, Democratic People's Republic of",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Monaco,100.0,100.0,,55.58,49.99,39.56,29.22,14.0,6.34,2.95
Saudi Arabia,100.0,100.0,99.94,97.54,91.8,79.28,61.67,46.0,30.26,9.62
Congo,100.0,100.0,100.0,99.97,99.43,97.92,95.4,93.9,92.38,91.35
Russian Federation,100.0,99.93,99.48,98.02,91.57,80.7,67.06,39.74,28.76,20.16
Uruguay,100.0,99.88,95.93,89.46,85.19,72.17,57.5,45.49,35.86,28.83
Nigeria,100.0,100.0,99.98,99.94,99.28,94.71,90.4,83.67,72.44,58.0
Brunei Darussalam,100.0,99.66,95.2,90.14,78.45,58.89,50.67,39.74,23.34,5.18
Panama,100.0,99.98,98.83,94.11,90.12,82.96,62.33,57.66,49.96,40.21
Solomon Islands,100.0,99.99,99.61,99.52,99.43,98.5,96.0,93.0,90.0,88.08
United Kingdom,99.83,98.85,91.61,72.8,37.7,28.7,17.68,12.43,7.2,5.99
Portugal,99.88,99.11,94.07,83.58,73.06,61.64,51.43,40.77,32.12,25.4
Kyrgyzstan,100.0,100.0,99.93,98.59,96.0,87.71,84.0,79.9,68.15,62.0
Slovakia,100.0,99.68,98.45,90.87,54.64,42.31,29.41,23.66,20.64,18.29
Romania,100.0,99.97,99.03,96.38,89.84,75.18,63.68,54.78,43.55,30.64
"Tanzania, United Republic of",100.0,100.0,99.99,99.88,99.41,98.67,97.6,96.15,86.67,75.0
Mauritania,100.0,100.0,99.98,99.81,99.58,98.97,97.28,94.77,85.37,79.2
Samoa,100.0,100.0,99.8,99.15,97.29,95.81,93.99,86.93,74.66,66.39
