Country,1961-1969,1970-1978,1979-1987,1988-1996,1997-2005,2006-2013,2014-2021
Serbia,,,,,,2.16,2.34
Namibia,0.0,0.0,0.0,0.0,0.01,0.01,0.01
Azerbaijan,,,,3.61,2.83,2.75,3.06
Brazil,0.93,1.02,1.21,1.04,1.17,1.25,0.96
Indonesia,4.42,4.42,4.58,6.64,8.67,11.17,13.5
China,0.21,0.28,0.45,0.91,1.21,1.53,1.87
Iraq,0.27,0.39,0.47,0.59,0.47,0.51,0.87
Paraguay,0.28,0.29,0.27,0.22,0.24,0.22,0.22
Seychelles,8.7,8.7,10.14,7.0,6.52,3.94,3.04
Viet Nam,1.51,1.65,2.25,3.61,6.83,11.09,14.66
Solomon Islands,1.43,1.43,1.6,1.92,2.04,2.75,3.12
San Marino,,,,,,,5.25
Uzbekistan,,,,0.87,0.81,0.82,0.9
Vanuatu,5.97,6.75,7.08,8.21,9.4,10.23,10.25
Eritrea,,,,0.02,0.02,0.02,0.02
Croatia,,,,2.1,1.6,1.45,1.34
Ireland,0.04,0.03,0.04,0.04,0.04,0.03,0.01
