Country,1999-2001,2004-2005,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2017,2018-2018,2019-2019,2020-2020
Mauritius,98.36,98.47,97.71,97.82,98.42,98.33,97.77,99.24,96.7,98.09,98.96
Albania,,,92.74,96.66,99.49,97.77,91.37,93.26,88.63,90.06,92.09
Belize,77.79,92.62,94.35,91.35,93.59,97.44,97.06,96.31,,89.94,96.86
Tuvalu,,,,,,,57.58,,,,
Lebanon,94.75,94.91,95.41,95.48,97.79,99.4,92.78,89.76,89.19,89.53,88.63
Senegal,64.77,68.29,71.33,73.53,72.73,76.32,,,,87.16,76.24
Seychelles,97.1,,93.25,97.42,,,97.35,96.47,,,96.57
Vanuatu,71.82,,80.49,,,,,,,91.73,
"Venezuela, Bolivarian Republic of",94.31,94.77,91.37,96.54,98.7,92.59,87.48,,,,
Ethiopia,58.47,68.43,50.68,46.93,46.67,45.19,,,,,
Belgium,,96.95,94.76,100.0,100.0,97.03,97.89,97.94,97.98,98.05,97.82
El Salvador,70.82,74.27,81.66,89.43,89.06,86.13,82.18,87.97,,87.1,89.11
Suriname,,85.16,99.62,86.62,96.68,97.08,87.35,90.46,97.15,94.67,80.41
North Macedonia,,,,,97.57,96.06,,97.58,90.97,93.41,94.79
Cabo Verde,95.29,92.87,90.8,91.96,94.75,93.37,93.47,,,91.94,97.51
Ireland,,,,,,,,,,,
Malaysia,87.27,99.99,,,,94.07,97.91,94.85,93.42,99.24,98.52
Togo,49.51,75.21,71.33,67.49,71.88,60.46,,,,,74.08
Egypt,97.35,94.76,,97.74,,,97.86,,99.75,99.97,100.0
Israel,98.6,99.09,98.18,98.53,98.18,98.37,98.5,98.26,98.59,98.19,97.59
Malawi,40.15,42.59,57.97,61.24,62.15,64.99,,,73.48,,
