Country,1999-2001,2002-2004,2005-2007,2008-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020
Liberia,,,,61.92,,,44.44,,
Canada,98.87,,,,,,,,
Kuwait,95.75,98.9,,95.97,95.6,,90.82,92.63,91.64
Nigeria,88.29,72.77,58.79,73.01,,,,,
Peru,79.66,84.32,85.21,86.42,72.67,92.0,93.11,,94.91
Morocco,75.94,70.87,74.53,85.94,89.55,87.87,94.3,94.36,94.25
Seychelles,93.99,93.05,,93.31,,,97.35,95.83,95.3
Montenegro,,,,,81.39,,96.55,99.07,99.24
Ghana,71.27,64.74,,68.7,,82.29,83.21,82.38,
Türkiye,,96.27,96.88,96.15,89.24,90.81,97.87,99.9,99.85
Equatorial Guinea,,,,59.63,72.06,,,,
Burundi,54.12,63.3,66.17,57.78,49.12,53.69,46.84,47.45,53.71
Chad,41.54,33.92,25.02,37.05,40.58,,22.37,74.91,
Uganda,38.81,26.1,30.35,38.87,35.71,,35.73,,
Cameroon,,,58.31,63.89,70.45,67.07,49.33,51.3,
