Country,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2018,2019-2020
El Salvador,62.22,69.95,68.66,80.79,81.37,75.13,81.48,81.08
Belgium,,,,,,,,
Israel,99.75,99.27,99.34,99.65,99.69,99.54,99.37,99.84
Djibouti,,,,,80.35,,,89.25
Saudi Arabia,,,96.74,,,,86.71,
Honduras,,,75.62,72.12,69.16,80.84,,71.72
Burkina Faso,58.6,67.01,67.17,66.03,64.96,62.41,57.43,51.89
Eswatini,59.13,60.29,74.97,81.24,73.91,78.21,80.16,
Guyana,61.5,,,85.37,89.8,,,
Russian Federation,,,,,95.48,97.72,98.92,
Mozambique,33.44,48.7,44.36,33.92,31.81,34.25,41.65,43.47
Thailand,85.35,,,,,92.46,97.14,
Mauritania,39.39,37.97,50.18,80.47,64.91,63.29,,
North Macedonia,96.09,97.0,96.11,,96.57,,93.38,95.53
Croatia,99.53,99.13,98.64,99.01,98.69,97.91,97.24,98.45
Japan,,,,,,,,
Namibia,80.27,73.54,73.6,80.84,88.98,,81.29,
Kiribati,71.73,72.66,,,,,,
Philippines,71.07,67.55,68.49,72.0,,90.74,95.24,95.3
