Country,1975-1978,1979-1982,1983-1986,1987-1990,1991-1994,1995-1998,1999-2002,2003-2006,2007-2010,2011-2014,2015-2018,2019-2021
Gambia,54.24,53.95,55.51,55.95,53.51,34.83,32.08,32.01,30.97,28.77,41.59,61.83
Iceland,77.03,79.99,81.69,84.49,91.93,91.99,91.6,89.55,87.22,85.86,84.75,84.48
Pakistan,24.43,16.21,18.03,23.74,30.12,30.25,28.29,26.89,25.82,28.33,31.93,31.67
Latvia,,,,,63.85,65.76,66.75,67.14,69.82,71.76,71.01,79.97
Cameroon,21.68,26.82,37.85,37.42,35.76,38.47,37.61,38.36,39.51,37.98,34.85,33.63
Uzbekistan,,,,,37.53,34.07,28.23,23.9,26.72,26.15,29.7,39.34
United Kingdom,51.23,52.86,54.19,56.16,59.13,63.42,70.95,68.32,68.87,65.9,63.95,61.55
Ireland,67.49,68.73,74.78,74.84,75.42,75.81,76.02,74.24,72.51,73.42,73.44,76.5
Peru,39.39,38.65,31.89,28.08,26.93,25.33,38.79,52.22,53.52,52.88,57.03,57.52
Armenia,,,,,41.58,41.05,42.64,43.58,45.53,50.6,54.86,62.29
Ghana,42.14,40.8,34.23,39.13,49.15,61.83,61.54,61.75,61.34,60.98,57.53,56.24
Thailand,27.14,33.52,37.54,37.25,37.68,44.54,42.25,35.63,34.52,33.94,28.2,29.09
Mongolia,33.27,33.27,33.57,37.73,58.77,58.66,61.66,59.88,59.09,58.56,58.14,59.97
Central African Republic,21.65,36.52,38.74,40.23,41.13,39.74,37.77,33.65,32.23,29.33,33.66,34.78
Chile,14.45,16.87,19.76,34.49,65.22,66.96,65.18,67.16,65.48,68.37,65.06,56.0
Georgia,,,,,30.38,36.41,38.86,43.52,45.03,47.72,59.13,63.69
United States,59.98,63.7,66.86,67.03,67.7,68.16,65.03,53.85,60.38,65.17,63.66,60.01
Tunisia,43.41,43.65,41.48,38.08,35.73,37.3,36.68,36.09,37.42,45.08,47.35,47.81
Oman,41.14,42.36,43.94,44.06,44.09,44.82,45.03,45.74,46.56,42.6,45.04,47.03
Japan,75.0,75.58,75.51,76.19,75.54,75.41,74.64,74.45,74.29,74.23,74.33,74.41
Malta,68.39,68.89,68.03,67.35,69.64,70.36,70.82,71.29,72.0,72.23,69.03,67.3
Namibia,,,,49.66,56.5,56.5,52.7,55.4,57.84,57.81,60.59,58.29
Niger,32.45,34.2,34.94,38.17,44.38,45.71,50.01,51.62,48.02,50.72,49.41,48.44
Guyana,48.02,41.0,41.78,47.6,48.44,49.54,43.26,41.84,43.07,45.16,57.58,60.46
Cabo Verde,51.32,55.15,56.18,59.95,66.76,66.76,66.55,66.64,65.73,66.04,67.46,64.91
