Country,1978-1983,1984-1988,1989-1993,1994-1998,1999-2003,2004-2008,2009-2013,2014-2018,2019-2023
Fiji,6770491.6,23536114.12,22588148.88,31241155.19,73433790.34,182085374.56,180284584.84,262897469.02,391237205.82
Latvia,,,,45293333.33,168906297.97,709733284.92,1490551577.32,1327138061.74,1214156216.26
Ethiopia,9959742.23,11826087.19,10969681.17,20908649.23,36931866.81,244790003.34,538695541.88,897061023.53,486702903.99
Burkina Faso,119175331.13,153618637.1,130787263.48,76009666.44,59847180.18,70651349.32,191270869.66,410231377.01,533133486.3
Guinea,,8949999.69,13599999.9,1752400.0,28426844.29,37860000.0,64420000.0,75453788.5,321930740.5
Senegal,63734923.05,95498554.23,152614021.3,141644790.56,316649098.52,1004939259.93,1561020500.68,2049280803.11,2834513476.72
Yemen,,,1138324981.7,1129060009.8,1273942504.8,1315967599.8,2156684000.0,3602550400.0,3770584000.0
Liberia,,,,,,57843236.74,360384288.52,521990620.65,540454159.54
Maldives,2500000.0,1490000.01,1559999.99,2429838.69,2048242.55,4431430.87,3423926.27,3834816.84,4759839.35
India,2156323221.83,2396914648.6,2941381494.0,8131129923.49,15003130569.34,31280628211.71,60794765244.19,69960009333.57,98415635575.21
"Venezuela, Bolivarian Republic of",,1000000.0,1600000.0,8400000.0,56000000.0,148800000.0,130200000.0,189333333.33,
"Tanzania, United Republic of",129667.21,,,8311268.37,10270604.75,22165305.11,313149536.93,399066158.92,469510395.31
Mali,46886555.35,65866715.24,103610804.74,100441130.04,107818450.85,264372336.45,687217851.29,894736324.83,1072182297.45
Ecuador,,2666666.67,77183999.64,519550002.2,1380765812.68,2732364305.01,2591417727.54,2672046243.84,4170050385.24
Cambodia,,,9250000.0,23680000.04,109800000.0,173703600.0,633737796.26,1241284748.87,2639395340.73
Panama,89499999.36,95980000.3,106199998.46,86540000.0,65840000.0,254460000.0,397500000.0,576870315.12,518090934.93
Albania,,,241900000.0,417948000.0,665323716.46,1428689061.86,1511594285.41,1357582523.48,1674480101.64
Estonia,,,,2050972.4,17548845.36,322247777.54,432251605.27,512636926.64,519198486.9
Türkiye,1815166666.67,1790400000.0,3011000000.0,3809800000.0,2908800000.0,1708000000.0,1863600000.0,1297200000.0,788800000.0
Hong Kong,,,,153640902.05,131811690.63,300573064.87,353210626.76,404032951.04,431460243.47
Honduras,1566666.66,16329999.97,73979999.54,157060000.0,616005558.16,2153551333.16,2784889526.29,3999752489.87,7095783447.63
Libya,,,,,8500000.0,13666666.67,,,
Armenia,,,,155178592.5,234760426.4,1284073189.52,1802989713.32,1595779152.92,1659316104.69
Singapore,,,,,,0.0,0.0,0.0,0.0
