Country,1996-2000,2002-2004,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2022
Saudi Arabia,4.0,4.33,5.5,7.0,7.0,6.5,7.0,7.5,9.0,7.5,7.0
Uruguay,4.0,5.33,6.0,6.0,7.0,7.5,8.0,8.0,8.0,6.5,6.0
Chile,4.33,6.33,7.5,8.0,8.0,9.0,9.0,9.0,9.0,7.5,7.0
Benin,2.0,2.33,5.0,6.0,6.0,6.0,5.5,6.0,6.0,4.5,5.0
Spain,4.33,6.33,7.5,8.0,8.0,9.0,9.0,9.0,9.0,7.5,7.0
Guatemala,4.0,5.33,6.5,7.0,7.0,8.0,8.0,8.0,8.0,6.5,6.0
Bhutan,2.0,2.33,3.0,3.0,4.0,4.0,5.0,5.0,4.5,4.0,4.0
Hong Kong,3.33,5.33,6.5,7.0,6.0,7.0,7.0,6.5,7.0,7.0,6.0
Nepal,2.0,2.67,4.0,4.0,6.0,6.5,7.0,7.0,8.0,6.5,6.0
Saint Lucia,1.0,1.67,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
Grenada,2.0,2.33,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
Malaysia,4.33,6.33,7.5,8.0,8.0,9.0,9.0,9.0,9.0,8.5,8.0
Djibouti,2.0,2.0,2.5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Guinea,3.0,3.33,4.5,5.0,5.0,6.0,7.0,6.5,6.0,5.5,6.0
China,4.33,6.33,7.5,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0
Belize,2.0,2.33,3.5,4.0,4.0,4.5,4.5,5.0,5.0,5.0,5.0
South Africa,4.33,6.33,7.5,8.0,8.0,9.0,9.0,9.0,9.0,7.5,7.0
Armenia,2.67,3.33,5.5,6.0,6.0,6.5,7.0,7.0,7.0,5.5,5.0
Gabon,4.0,4.33,5.5,6.0,6.0,6.5,7.0,7.0,6.0,5.5,5.5
Brazil,4.33,6.33,7.5,8.0,8.0,9.0,9.0,9.0,10.0,8.5,8.0
Mali,3.0,4.0,5.5,6.0,7.0,7.0,7.0,7.0,7.0,5.5,6.0
Sao Tome and Principe,2.0,2.0,2.5,3.0,4.0,3.0,3.0,3.5,4.0,4.0,4.0
