Country,1950-1966,1967-1983,1984-2000,2001-2017,2018-2034,2035-2051,2052-2068,2069-2084,2085-2100
Azerbaijan,36.16,38.01,31.9,23.72,19.22,15.31,13.51,13.24,12.82
"Tanzania, United Republic of",44.84,45.76,45.24,44.03,41.33,35.8,30.27,25.62,22.08
"Saint Helena, Ascension and Tristan da Cunha",39.6,34.73,24.37,15.03,12.34,11.2,12.61,12.67,12.73
Türkiye,40.83,40.92,34.24,26.59,21.31,16.77,15.03,13.5,12.98
Norway,24.57,22.63,18.81,18.45,15.57,14.36,13.57,13.32,13.04
Chad,39.35,43.62,46.73,47.99,45.97,40.54,33.97,28.3,24.12
Bosnia and Herzegovina,36.77,30.34,22.9,15.44,13.45,11.72,11.4,11.2,11.3
Mauritius,45.06,37.37,28.43,21.94,15.34,13.53,12.04,11.98,11.77
Spain,25.65,25.68,17.91,14.17,12.13,10.67,10.23,10.48,10.61
Slovenia,25.58,22.44,18.67,14.03,13.93,12.84,13.04,12.95,12.95
Latvia,20.04,19.02,18.76,13.56,13.43,12.3,13.06,12.63,12.63
"Iran, Islamic Republic of",41.1,43.26,41.53,24.62,21.02,15.47,14.2,12.97,12.82
Guadeloupe,41.16,38.07,26.05,20.58,16.05,15.82,14.37,14.26,12.97
Argentina,30.81,29.37,28.79,25.07,20.88,17.48,15.31,14.02,13.29
Botswana,42.65,45.78,42.24,34.44,30.11,24.62,21.3,19.0,17.48
Kuwait,45.11,47.96,40.13,27.42,21.0,16.84,14.88,15.11,13.54
Thailand,42.76,40.89,28.18,18.87,13.59,11.14,10.29,10.18,10.28
Grenada,43.99,40.2,35.14,26.03,22.27,18.02,16.09,14.52,13.84
Croatia,24.97,20.79,18.04,14.57,12.9,11.83,11.75,11.48,11.57
Turkmenistan,36.21,41.41,38.68,30.7,28.06,22.88,20.01,17.87,16.17
United States,28.8,24.3,20.67,19.36,16.68,15.43,14.48,14.15,13.75
