Country,1950-1968,1969-1987,1988-2006,2007-2025,2026-2044,2045-2063,2064-2082,2083-2100
Austria,522392.84,584678.89,468642.32,429732.26,424455.68,379347.68,367073.79,347723.83
Puerto Rico,300833.84,336681.42,313592.21,212154.16,133454.16,95409.79,67869.11,46404.94
French Polynesia,10240.95,19498.32,25326.84,23963.42,19438.0,17031.21,14292.16,12406.61
Bhutan,25177.42,43811.53,70344.68,69863.53,50025.0,42066.74,34549.53,29424.67
Niger,440836.79,746424.63,1320158.11,2791419.74,5561635.11,9074301.47,11800027.26,13206449.0
Andorra,781.0,2713.89,3503.84,3988.11,2916.32,2783.63,2404.11,2375.44
Greece,716709.11,717732.95,639929.21,532812.53,409474.11,370049.68,298754.58,272029.72
Mongolia,92339.53,207749.68,288426.89,271297.32,344444.58,335638.05,307892.89,294107.89
Armenia,184938.68,324848.16,313788.26,188338.26,162480.0,124839.26,96181.79,77623.22
Belarus,782140.32,833547.37,765858.79,509100.79,456376.26,413908.68,348711.05,332517.11
Romania,1602257.79,1730795.95,1660218.37,1065781.84,982145.58,841468.68,738844.26,651568.89
Trinidad and Tobago,98654.26,127219.63,133101.37,98598.63,86262.11,72029.68,59666.42,51517.72
Liechtenstein,1500.26,2012.11,1957.47,1974.63,1873.11,1789.47,1742.47,1711.33
Comoros,20841.37,38328.84,68104.11,90090.84,108785.11,115788.0,115062.84,106753.83
Sweden,555499.26,559173.42,541422.32,564925.11,596276.0,601006.58,592628.63,605723.78
India,48690408.74,78297250.21,111087754.68,126465694.63,112799210.84,101037211.89,88892345.84,77740934.06
Cuba,754895.89,1101053.53,793929.84,660363.26,516464.11,432178.32,348132.79,294944.17
