Country,1950-1971,1972-1993,1994-2015,2016-2037,2038-2058,2059-2079,2080-2100
Denmark,26.59,28.64,26.29,24.74,22.9,22.34,21.6
Madagascar,25.1,26.53,28.38,30.63,31.08,29.58,27.5
Brazil,28.49,30.46,32.8,29.38,23.39,20.63,19.68
Timor-Leste,29.55,31.19,27.58,32.87,31.28,26.75,23.3
Mayotte,25.53,26.74,29.88,28.63,30.34,28.82,26.86
Bermuda,29.97,34.62,28.89,20.68,18.86,18.34,17.64
Nigeria,28.31,26.85,27.75,28.73,32.09,32.03,29.38
Viet Nam,26.53,27.89,32.76,28.8,23.91,21.86,21.14
Belarus,30.08,27.63,27.89,22.6,20.83,20.17,19.99
Gibraltar,29.1,29.04,26.81,22.62,21.09,19.8,18.59
Guinea-Bissau,29.6,27.15,28.6,30.93,32.12,30.23,27.9
Somalia,26.51,27.13,26.07,27.38,31.18,32.17,30.1
Faroe Islands,25.73,27.61,23.89,23.49,25.38,25.07,23.26
Wallis and Futuna,24.49,25.19,28.04,24.02,23.95,22.21,20.08
Ethiopia,27.92,26.86,26.98,31.19,31.59,29.5,26.68
Iceland,26.63,30.11,29.02,27.09,22.96,21.02,20.11
Latvia,29.69,27.47,25.71,20.04,20.81,19.96,19.52
Kiribati,25.94,29.08,30.42,30.76,30.2,28.35,26.45
Lesotho,26.76,26.49,30.09,32.78,32.08,30.04,28.02
Greenland,28.17,34.9,30.69,28.2,24.8,22.54,21.37
Thailand,28.05,31.64,32.57,25.1,19.19,17.35,17.03
South Africa,27.24,30.02,32.3,31.45,29.14,26.71,24.88
Benin,26.41,25.96,27.65,28.93,30.99,30.75,29.57
Botswana,26.65,26.94,33.19,32.23,30.6,27.97,25.8
Georgia,31.18,28.7,28.24,23.51,23.35,21.56,20.22
Uruguay,29.91,27.23,27.32,27.01,22.75,19.7,18.3
Saint Lucia,24.73,26.09,31.91,30.7,22.42,19.64,19.17
Tokelau,25.08,23.7,22.92,28.47,28.84,26.42,23.99
Samoa,25.15,24.96,27.7,27.77,29.68,28.74,26.56
Nepal,28.8,28.09,29.23,34.58,28.4,23.68,21.35
