Country,1950-1975,1976-2000,2001-2025,2026-2050,2051-2075,2076-2100
Mongolia,17.61,12.52,19.91,23.3,25.07,24.25
Saint Martin (French part),15.09,15.71,28.63,23.02,23.54,23.19
Romania,22.32,24.6,27.55,26.97,23.92,23.39
Cabo Verde,14.59,10.23,16.22,26.79,25.67,23.51
Viet Nam,17.25,14.07,22.79,27.28,25.13,23.95
Iraq,16.78,11.99,14.02,18.92,23.21,24.52
Bulgaria,23.38,25.67,28.2,27.33,23.91,23.03
Oman,14.11,12.84,17.18,26.94,24.66,23.73
Serbia,21.88,28.04,28.24,27.73,23.64,22.49
Jamaica,16.59,13.27,21.63,30.81,26.48,22.28
stbar,19.12,21.82,31.83,32.3,21.97,20.47
nld_curacao,16.29,20.03,27.92,26.81,26.36,24.76
Andorra,23.34,22.74,32.39,28.46,23.22,22.42
Uzbekistan,15.74,14.18,19.16,23.99,24.84,25.64
Morocco,12.81,14.01,20.61,24.67,25.39,23.95
Comoros,15.47,12.77,13.99,19.89,23.65,25.4
Namibia,14.49,11.73,14.52,19.1,23.11,25.2
Equatorial Guinea,16.86,14.22,15.13,19.62,23.64,26.36
Martinique,15.94,18.99,28.29,20.15,23.08,21.93
Sao Tome and Principe,14.52,12.25,13.4,16.7,22.16,24.48
Libya,13.51,12.89,19.24,24.42,26.33,24.65
Niue,13.69,17.36,25.27,21.59,26.15,26.11
