Country,1950-1980,1981-2010,2011-2040,2041-2070,2071-2100
Jersey,4256.03,4518.87,5602.37,6343.77,6891.8
Malawi,588095.35,1554133.37,3051523.03,3948158.03,4009587.03
Japan,9097351.0,6877969.43,4632189.27,3647936.27,3021126.77
Papua New Guinea,333712.0,665422.33,1163778.8,1282503.67,1209727.97
Qatar,11087.74,48022.9,126373.27,165355.77,199040.0
Turks and Caicos Islands,866.39,1530.63,2549.3,2631.23,2596.57
Syrian Arab Republic,860963.52,2081620.83,2705671.93,2843969.77,2473890.53
Mexico,6784234.23,10943243.07,9982102.43,7562552.17,5602506.33
Slovakia,408512.13,386602.1,277389.03,222363.07,182087.93
Colombia,2739206.84,4046538.17,3577548.73,2763662.2,2157126.83
Greenland,5237.42,4720.3,3801.33,2974.83,2252.53
Puerto Rico,339782.9,307868.1,151869.13,88077.07,50716.1
Fiji,68951.19,95982.0,88520.1,78648.5,64494.37
China,98897347.35,102042001.27,70456101.87,44605740.43,30842058.9
French Polynesia,15274.48,25593.43,20739.2,16045.8,12517.1
Eritrea,162185.61,335243.23,500849.9,580473.57,553030.73
Kenya,1627506.19,4286780.2,7039294.73,7968319.23,7425015.87
Canada,1964799.81,1904188.97,1995359.67,2156674.1,2291015.47
Bahrain,27902.39,64474.6,91188.63,92443.53,94403.3
Sweden,569166.94,522427.17,588804.93,594325.43,596827.43
Albania,270399.68,314603.73,146967.6,88986.53,48294.57
Italy,4248847.32,3008523.87,2345255.57,1821013.63,1502903.47
Hungary,775764.03,637278.63,471674.17,390762.57,330714.03
Mayotte,5111.16,19721.3,48900.0,76647.93,92238.87
"Moldova, Republic of",342516.65,333144.63,200501.43,164018.03,134747.0
Saudi Arabia,802837.84,2384534.17,3027236.67,2841612.8,2513049.47
Tokelau,274.58,205.4,167.87,176.57,159.3
Samoa,21390.52,24168.77,28215.03,32976.13,31268.4
Libya,271169.81,574704.4,616970.73,542664.2,452803.17
