Country,1950-1962,1963-1975,1976-1988,1989-2001,2002-2014,2015-2027,2028-2040,2041-2052,2053-2064,2065-2076,2077-2088,2089-2100
Algeria,3.4,3.8,3.3,3.86,5.13,6.65,10.38,15.44,19.69,20.72,24.59,28.57
Tonga,3.98,3.3,3.93,5.26,6.21,6.85,8.58,10.98,12.85,15.34,19.12,22.24
"Saint Helena, Ascension and Tristan da Cunha",8.11,9.05,10.02,12.66,17.54,25.19,34.76,38.45,36.82,31.51,33.51,34.85
United States,9.53,11.17,13.41,14.29,14.29,18.2,22.99,24.67,26.48,28.76,30.6,31.27
"Tanzania, United Republic of",2.54,2.72,3.06,3.1,3.01,3.38,3.71,4.79,6.54,8.55,11.39,14.72
Turks and Caicos Islands,6.13,6.98,6.21,4.58,6.34,11.15,16.73,22.87,26.35,27.74,28.23,29.4
Saint Martin (French part),5.21,4.87,3.26,3.17,5.0,11.49,22.3,30.72,31.29,27.37,28.53,30.95
"Congo, The Democratic Republic of the",3.71,3.31,3.23,3.24,3.39,3.24,3.26,3.52,4.28,5.48,7.47,10.15
Morocco,3.01,3.32,2.87,3.77,5.3,7.97,12.24,16.58,20.64,23.63,27.24,30.11
kos,5.51,4.97,4.86,5.59,7.76,11.11,16.87,23.25,28.45,35.85,42.02,43.72
stbar,7.98,7.24,4.75,7.02,11.18,12.92,22.06,32.56,43.77,48.3,46.85,45.88
Kyrgyzstan,7.45,6.19,6.09,6.18,5.46,5.44,8.5,10.35,13.8,15.54,18.84,22.0
Honduras,3.75,3.43,3.51,3.41,3.43,4.62,6.99,10.92,15.73,20.73,24.17,26.89
Syrian Arab Republic,6.1,4.03,3.21,3.26,3.71,5.2,6.71,9.68,12.82,19.91,23.6,24.69
Bermuda,6.48,7.32,9.63,11.19,14.59,22.33,32.33,37.67,37.8,37.67,39.57,40.0
Marshall Islands,4.99,4.48,3.32,2.63,2.29,4.14,7.6,11.02,12.83,13.09,17.45,19.56
Haiti,3.81,4.23,4.75,4.35,4.42,5.08,6.46,8.58,11.84,14.73,17.55,20.39
United Arab Emirates,3.32,2.39,1.89,1.37,0.78,2.46,4.54,10.33,17.02,16.44,17.86,19.48
Japan,6.1,7.83,11.3,17.37,25.17,32.35,35.68,39.77,41.1,41.58,41.59,41.3
Antigua and Barbuda,5.26,6.26,9.07,9.0,8.02,11.67,19.94,26.33,30.84,34.12,35.65,36.47
