Country,1960-1967,1968-1975,1976-1983,1984-1991,1992-1999,2000-2007,2008-2015,2016-2023
Marshall Islands,48.82,48.77,51.07,51.35,48.02,41.8,38.89,34.41
gbm,19.5,20.12,19.59,17.63,17.7,17.48,16.51,15.24
"Bolivia, Plurinational State of",40.97,41.44,41.29,40.84,39.6,37.26,34.32,31.59
United Arab Emirates,36.86,30.62,27.58,30.43,25.75,19.58,14.2,14.81
Italy,24.65,24.58,22.41,17.91,14.7,14.17,13.98,12.93
Uganda,46.84,47.09,48.0,48.2,49.53,50.5,49.51,46.04
Albania,42.17,41.34,36.71,33.21,31.42,26.71,20.15,16.75
Netherlands,28.75,26.74,22.66,18.79,18.42,18.38,17.25,15.76
Sri Lanka,41.07,39.31,36.26,33.14,29.01,26.17,25.37,23.69
Mozambique,42.88,44.27,45.01,44.69,43.95,44.76,45.3,43.98
Iraq,40.94,44.46,46.78,45.39,44.05,42.79,40.96,38.67
Nigeria,41.26,42.4,43.91,44.86,43.9,43.63,44.29,43.56
Portugal,29.11,28.27,25.97,22.05,17.65,16.0,14.9,13.55
Tonga,46.77,46.97,44.01,40.83,39.54,38.2,37.36,35.25
Togo,44.11,44.94,45.78,45.51,44.03,42.47,41.72,40.55
Sierra Leone,39.06,41.01,42.18,42.87,43.49,43.87,42.81,39.98
Zambia,46.88,48.66,49.76,48.97,48.61,47.77,46.29,43.86
chanisl,21.2,21.24,18.54,16.24,17.01,16.79,15.55,15.17
South Sudan,41.82,43.72,44.6,45.47,46.97,46.53,42.95,45.09
Kiribati,43.87,44.43,41.03,39.82,41.35,39.16,36.2,35.98
Denmark,24.15,23.15,20.96,17.72,17.56,18.63,17.67,16.34
"Micronesia, Federated States of",45.52,46.82,46.59,45.08,42.72,38.47,34.79,31.33
Faroe Islands,31.97,31.1,28.3,24.8,23.95,23.18,21.54,20.72
Malta,33.04,26.26,23.71,23.64,21.42,17.7,14.45,13.31
Nepal,40.77,40.66,40.97,41.38,41.22,39.46,35.34,30.49
Dominica,46.24,47.26,40.84,33.81,31.94,27.86,23.07,20.27
Latvia,22.05,21.26,20.39,21.01,20.05,15.65,14.44,15.5
Haiti,40.53,40.64,40.59,41.71,41.59,38.83,35.47,32.8
Cyprus,34.87,29.95,25.55,25.02,24.11,20.56,16.77,16.0
