Country,1960-1966,1967-1973,1974-1980,1981-1987,1988-1993,1994-1999,2000-2005,2006-2011,2012-2017,2018-2023
Zambia,46.45,47.74,48.63,48.12,47.39,47.2,46.77,46.13,45.0,42.92
Kyrgyzstan,38.14,38.42,36.99,36.07,36.86,36.82,32.73,29.72,31.1,32.97
Djibouti,43.29,43.81,44.48,44.09,42.91,40.84,38.0,36.18,33.53,30.48
Tonga,46.23,46.62,44.31,40.77,38.99,38.14,36.98,36.69,35.41,33.38
"Korea, Democratic People's Republic of",34.05,36.95,35.02,29.23,25.27,24.87,23.59,21.34,19.16,18.31
Equatorial Guinea,38.81,39.35,40.7,40.61,41.09,42.57,42.08,40.01,40.27,40.64
Malta,31.64,25.56,22.55,22.8,22.13,20.23,17.62,14.85,13.54,13.24
Italy,23.39,23.37,22.34,18.89,15.39,13.74,13.38,13.25,12.97,12.07
Saint Vincent and the Grenadines,47.27,47.73,44.78,40.2,36.77,33.58,30.38,26.85,24.01,22.31
Australia,29.42,28.2,25.92,23.29,21.38,20.63,19.58,18.65,18.28,17.79
Liberia,41.86,42.92,44.09,45.11,43.56,41.85,41.72,42.29,41.79,40.46
Grenada,45.07,43.91,38.31,35.5,35.77,34.88,30.26,25.24,23.74,23.59
Bahamas,40.81,41.78,37.54,32.81,30.96,30.11,28.08,26.14,22.77,18.97
Cayman Islands,35.19,35.35,30.62,25.52,21.71,19.78,18.98,18.07,17.31,17.34
Somalia,44.23,43.9,43.67,44.62,45.72,45.97,46.7,47.68,47.29,46.74
chanisl,20.14,20.44,18.66,16.06,15.55,16.34,16.22,15.4,14.91,14.9
Netherlands,28.08,26.5,23.45,19.45,17.7,17.83,17.88,17.15,16.17,15.11
South Africa,42.66,41.93,40.94,38.04,37.03,35.76,31.0,27.7,27.07,27.36
Antigua and Barbuda,39.21,40.8,35.21,29.29,28.33,27.32,25.55,22.93,20.15,17.88
Ethiopia,42.25,43.26,44.61,44.91,45.61,46.5,46.58,45.07,42.25,39.58
Eritrea,42.11,43.38,44.04,44.09,44.31,43.41,42.74,41.85,41.15,39.2
Singapore,44.55,38.95,30.24,24.1,20.97,19.96,18.14,15.32,13.2,12.22
United Arab Emirates,43.44,44.9,43.52,44.22,42.45,37.13,31.37,24.85,23.62,23.89
Turkmenistan,41.1,43.11,40.7,39.15,39.45,38.0,33.91,29.78,29.29,30.02
Austria,21.01,22.32,20.51,17.45,16.49,16.59,15.64,14.42,13.7,13.77
Bulgaria,24.37,22.56,22.09,21.07,19.28,16.51,13.92,12.92,13.31,13.22
Luxembourg,21.19,21.2,19.02,16.69,16.76,17.84,18.07,17.32,16.22,15.64
Saudi Arabia,45.02,45.51,46.48,47.3,46.4,43.3,40.61,35.21,31.71,30.11
Paraguay,45.37,44.63,42.43,40.95,40.9,39.88,37.06,33.36,30.26,28.61
Peru,43.98,43.78,42.73,40.89,38.56,35.83,32.66,29.99,27.92,25.84
