Country,1960-1966,1967-1973,1974-1980,1981-1987,1988-1993,1994-1999,2000-2005,2006-2011,2012-2017,2018-2023
South Africa,3864346.14,4761678.86,5602321.57,6481813.14,7892929.33,8600675.83,7954428.83,7550875.17,7969464.67,8588705.17
Gambia,88697.57,111034.0,142016.71,187315.71,242910.83,299286.0,355358.83,427294.17,508965.0,575125.0
American Samoa,5470.14,6402.14,6949.86,7966.14,9906.33,11352.5,11617.83,10169.83,8512.83,6643.0
Guyana,148864.29,167508.29,168777.86,153185.0,137515.83,138145.67,139559.17,127404.17,116029.83,117010.67
Hungary,1251346.86,1116709.29,1153063.29,1192053.29,1067270.83,936017.0,839373.0,767415.83,732598.17,722689.0
Greece,1132302.0,1131041.71,1157896.43,1133821.43,1002724.17,878560.67,809869.0,819708.83,811335.0,764553.5
Madagascar,1270267.0,1562709.14,1950193.0,2362908.0,2772473.33,3321997.33,3966550.0,4590696.0,5152518.0,5718554.83
Slovenia,219519.29,213761.71,218216.71,222061.71,209224.0,178799.17,154062.5,147286.33,156449.5,163314.67
Ecuador,1136253.43,1390211.57,1639598.57,1866356.29,2065889.33,2214949.67,2311904.67,2370119.5,2397439.67,2370931.0
Namibia,133436.86,164697.14,208898.71,247289.29,292946.67,347903.5,383829.0,384700.83,409603.83,452108.67
Côte d'Ivoire,894110.43,1222097.71,1658721.0,2288929.57,2863435.17,3411366.5,4082467.67,4597066.0,5153450.17,5733470.17
Denmark,580569.29,589216.29,573074.14,494245.57,451351.67,479126.83,514946.83,514568.5,495513.5,487593.5
Belgium,1135574.43,1163411.14,1077277.0,964905.43,928235.67,928613.5,921532.17,932964.33,976050.83,989708.67
Iceland,33125.14,34248.29,32910.86,32291.71,32782.5,33336.33,33611.5,33741.67,34048.67,35639.0
Tuvalu,1191.43,1262.57,1377.57,1478.0,1751.0,1886.5,1817.5,1785.67,1824.5,1840.0
"Korea, Republic of",6031481.29,7000279.86,6900500.57,6452869.29,5741444.5,5352487.33,5064403.83,4411401.67,3686930.0,3193827.17
Ukraine,6055533.14,5971968.0,5557681.14,5562709.0,5639530.17,5099772.83,3934217.0,3369739.5,3495941.33,3331216.83
Angola,1260089.0,1474532.29,1759381.57,2206549.0,2808316.33,3430270.17,4123355.0,5076428.67,6344946.0,7715530.83
Eswatini,88615.29,106079.86,132964.86,168737.0,208443.5,228329.5,223379.17,214540.67,212691.67,210064.83
Serbia,854254.29,804475.43,807818.43,797818.71,761704.33,690927.5,608347.0,551671.0,521123.67,502270.5
Burundi,665085.57,779162.86,896688.29,1113243.29,1344952.83,1473474.83,1595009.33,1927434.0,2465797.83,2885998.83
Georgia,575870.57,628014.0,595113.71,590584.14,607372.17,551437.67,443877.5,376421.33,372845.17,403790.0
Guam,15606.43,17532.86,18862.43,20247.71,21111.83,23476.33,24833.5,23322.0,23045.0,23108.17
Israel,411044.71,494993.86,604650.0,682018.57,749612.0,846123.5,939047.5,1046964.17,1195453.33,1343291.67
Kiribati,11372.0,13189.86,13117.14,13228.14,15708.33,17734.33,18902.33,19823.33,21102.83,23511.33
Zambia,801627.0,1029772.43,1299211.86,1595420.71,1883558.17,2178114.5,2543494.83,3053219.17,3639115.67,4169012.0
