Country,1960-1967,1968-1974,1975-1981,1982-1988,1989-1995,1996-2002,2003-2009,2010-2016,2017-2023
Senegal,9.52,10.06,10.03,10.34,11.15,11.66,11.44,10.84,10.95
Zimbabwe,10.03,11.03,9.93,11.67,11.88,13.41,11.66,11.1,11.61
kos,9.38,10.86,10.85,10.98,10.93,11.02,11.72,9.99,9.65
Guam,11.09,9.59,11.01,10.89,8.5,7.96,8.7,8.85,8.17
Tuvalu,3.75,10.47,13.33,11.07,7.06,8.8,10.66,9.73,8.94
"Bolivia, Plurinational State of",10.34,10.12,10.42,10.52,10.61,10.47,10.83,10.47,9.91
Panama,10.21,10.52,11.1,11.3,10.58,9.99,9.46,8.8,8.43
Bhutan,10.32,8.79,8.86,9.31,9.92,10.96,11.6,10.55,8.97
Central African Republic,9.49,10.15,10.14,10.09,9.89,10.8,11.32,11.59,12.29
Jamaica,9.21,9.94,11.56,11.68,10.64,10.87,10.98,10.32,8.45
Guyana,9.84,11.3,12.3,12.0,10.89,9.65,9.91,10.76,9.74
Serbia,9.03,8.26,7.63,7.37,7.41,7.07,6.45,5.76,5.42
Namibia,10.69,10.42,10.33,11.47,11.54,10.89,12.01,11.47,9.88
Norway,8.39,8.03,7.91,8.27,7.12,6.18,6.64,6.59,6.08
Djibouti,11.0,9.86,10.07,10.56,10.93,10.84,10.49,10.35,10.45
Libya,9.31,8.63,11.1,11.56,10.8,10.92,10.59,8.98,9.36
American Samoa,11.35,10.85,11.04,11.04,9.62,9.1,9.78,10.31,8.87
