Country,1960-1965,1966-1971,1972-1977,1978-1983,1984-1989,1990-1995,1996-2001,2002-2007,2008-2013,2014-2018,2019-2023
Jamaica,54.27,50.49,50.62,53.07,55.58,57.4,59.96,64.08,68.01,70.77,72.17
Senegal,53.4,52.98,52.65,51.08,50.32,51.29,52.91,54.15,54.48,54.79,55.8
Timor-Leste,57.58,57.47,57.48,58.98,58.28,55.12,53.93,53.87,54.18,56.22,59.36
United States,59.8,61.07,63.56,65.32,65.47,64.72,65.22,66.26,66.33,65.38,64.26
Saudi Arabia,51.3,50.97,50.94,49.67,50.04,51.77,55.02,58.03,64.11,66.08,66.95
Greece,65.38,64.46,63.73,63.43,65.17,66.65,67.27,66.29,64.91,63.64,62.8
Kiribati,52.75,52.01,53.57,56.71,57.64,56.36,56.84,58.8,61.08,61.59,60.98
North Macedonia,58.17,59.98,63.38,65.55,66.09,65.98,66.8,68.15,69.49,69.06,68.0
Gambia,56.65,55.65,54.62,52.96,51.86,51.24,51.19,51.78,52.15,52.97,54.64
American Samoa,49.69,50.16,53.56,56.25,57.39,56.87,56.51,58.41,62.17,64.57,65.65
Grenada,48.53,48.1,52.26,55.13,56.71,55.95,56.88,61.59,65.27,65.9,65.49
Guatemala,50.81,51.25,51.36,51.4,51.41,51.89,52.87,54.64,57.64,60.35,62.54
Costa Rica,50.99,52.18,55.69,59.04,59.87,60.29,62.62,65.71,67.81,68.56,68.56
Azerbaijan,53.51,51.75,55.45,60.47,62.15,61.32,63.33,67.64,71.24,70.82,70.07
Montenegro,57.92,59.95,62.46,63.71,64.74,65.25,65.91,66.25,66.64,65.93,64.3
Eswatini,50.81,50.91,50.57,49.65,49.94,51.87,53.67,56.91,58.93,59.47,60.51
Gabon,59.8,57.56,55.52,53.65,52.32,52.16,53.61,55.92,57.85,58.53,58.95
Equatorial Guinea,55.91,55.92,55.19,54.41,55.85,54.69,53.83,55.01,56.02,55.83,55.78
Bangladesh,53.14,51.67,51.27,51.61,52.46,54.95,58.25,60.79,63.14,66.15,68.16
Italy,65.54,64.39,63.21,64.11,66.55,67.13,65.96,64.51,63.7,62.61,61.99
Saint Vincent and the Grenadines,47.34,46.08,47.08,49.95,53.81,56.56,59.54,62.29,65.16,66.41,66.73
Austria,64.42,61.56,60.82,62.92,65.22,64.66,65.01,65.85,65.82,65.52,64.59
Uzbekistan,52.73,50.26,52.15,55.13,56.17,56.21,57.79,62.12,66.25,66.9,65.21
Cayman Islands,56.76,55.73,59.37,64.38,68.77,72.53,74.59,75.43,76.47,76.0,74.27
