Country,1960-1972,1973-1985,1986-1998,1999-2011,2012-2023
Costa Rica,6.03,6.66,8.0,7.55,8.11
Jamaica,5.0,5.2,7.28,7.53,8.45
Belize,5.3,4.54,6.37,7.29,8.07
Andorra,7.87,8.31,10.29,9.93,7.29
Monaco,5.68,6.59,6.72,5.75,4.16
Qatar,7.91,8.29,10.29,11.21,13.91
Netherlands,6.17,7.4,8.0,6.98,6.13
Turkmenistan,6.73,5.04,7.53,7.19,8.12
Guyana,5.3,5.59,7.67,7.59,6.95
Algeria,5.93,5.47,6.7,8.11,8.6
Latvia,7.69,6.62,6.97,6.22,6.17
Ukraine,7.79,6.14,7.01,6.56,7.27
Mauritius,5.56,6.67,8.67,7.77,7.21
Mozambique,7.06,6.32,6.42,6.21,6.25
Austria,5.73,6.39,7.68,7.06,6.59
Greece,7.78,6.33,7.04,7.58,6.03
Georgia,8.38,6.15,7.87,6.56,7.02
"Virgin Islands, U.S.",7.82,8.33,7.37,6.29,5.73
Guinea,6.64,6.02,6.04,5.8,6.31
