Country,1960-1967,1968-1975,1976-1983,1984-1991,1992-1999,2000-2007,2008-2015,2016-2023
Madagascar,3.0,3.28,3.37,3.15,2.93,2.73,2.56,2.95
Brazil,2.71,3.18,3.65,4.06,4.62,5.27,6.32,7.99
Canada,7.24,7.25,8.01,9.09,10.23,11.22,13.24,16.55
Zimbabwe,2.92,2.84,3.11,2.91,2.94,2.67,2.67,2.84
Greenland,1.8,2.16,2.68,2.94,3.75,4.9,6.99,9.27
Guam,1.21,1.45,2.27,3.07,4.39,5.28,6.7,9.62
Antigua and Barbuda,2.88,4.01,6.74,8.21,7.17,6.22,6.39,8.41
Côte d'Ivoire,2.34,2.46,2.46,2.49,2.68,2.58,2.54,2.43
Mongolia,5.2,4.92,4.09,3.4,2.94,3.05,3.19,3.38
Guyana,2.81,3.17,3.42,3.63,3.56,3.58,4.32,5.3
Bangladesh,3.06,3.28,3.62,3.72,3.75,4.21,4.66,5.39
Niger,1.0,1.32,1.55,1.73,1.84,1.9,2.0,2.12
Singapore,1.58,2.99,4.18,4.83,5.08,5.79,6.56,11.63
Kyrgyzstan,5.18,3.95,3.35,3.08,3.82,4.11,3.33,3.45
Namibia,3.85,3.65,3.38,3.0,2.59,2.53,2.8,3.03
Russian Federation,4.14,4.79,5.76,5.52,7.55,9.09,8.98,10.7
Austria,10.5,11.36,11.52,10.58,11.35,12.83,15.37,16.93
Burundi,2.8,2.82,2.79,2.53,2.11,1.98,1.95,2.09
Macao,3.5,4.01,5.6,5.68,5.86,6.34,7.36,11.79
kos,3.7,3.78,4.01,3.79,4.47,6.0,6.77,8.39
Finland,6.04,7.36,8.8,9.43,10.86,12.62,15.63,19.8
Equatorial Guinea,4.78,4.29,3.88,3.44,3.05,2.75,2.6,2.68
Australia,7.19,7.1,7.97,9.08,10.4,11.43,12.97,15.24
Faroe Islands,7.47,8.01,9.12,10.28,11.52,11.73,14.1,16.67
Maldives,3.33,2.85,3.11,3.1,3.68,4.77,4.24,4.16
Eswatini,2.54,2.55,2.43,2.07,1.88,2.09,2.49,3.01
Oman,3.32,3.26,2.85,2.3,2.16,2.28,2.16,2.1
Syrian Arab Republic,4.28,3.29,2.84,2.79,3.09,3.21,3.3,3.92
Belarus,5.59,6.51,7.02,6.72,8.93,10.55,10.23,11.94
Cayman Islands,5.18,5.16,5.23,5.3,5.0,4.97,5.36,6.99
