Country,1960-1972,1973-1985,1986-1998,1999-2011,2012-2023
Saudi Arabia,82574.0,133547.92,246931.54,327192.46,426951.33
Samoa,1663.62,2272.46,3216.62,3918.62,4682.25
Luxembourg,16558.54,19160.46,20397.92,27113.77,38950.83
Gabon,19142.46,22281.08,25739.31,30718.46,40079.92
gbm,3833.92,5202.62,5388.0,5921.0,8236.08
"Moldova, Republic of",51459.69,80123.0,101804.62,113994.62,120136.25
Malaysia,120617.69,209682.54,332061.38,564122.0,994584.92
nld_curacao,2437.08,3664.62,4460.54,6027.85,8505.0
Papua New Guinea,13816.69,21473.62,47470.31,85881.46,141289.42
Slovenia,57781.0,76001.54,79736.08,115950.85,166699.42
Djibouti,1318.23,3655.62,8088.85,13049.15,20325.92
Northern Mariana Islands,128.08,226.0,397.69,710.85,1911.92
Italy,2285557.23,2940185.46,3602417.38,4711336.85,5886103.5
Dominica,1383.46,2017.31,2688.85,3143.08,3083.58
Sint Maarten (Dutch part),87.54,206.38,382.38,575.85,1328.0
Iraq,147525.23,243664.46,276745.15,349665.15,529531.33
Indonesia,1366196.08,2410150.46,3690008.46,5612843.77,7428612.25
Angola,90880.69,102217.0,127631.23,215317.69,339160.83
Guatemala,61307.08,92595.92,161620.08,243368.69,342074.92
Togo,27847.38,36541.46,52207.85,73006.0,111649.25
Fiji,6407.54,8170.92,10653.77,14880.0,20874.0
Ethiopia,295106.23,433527.38,637250.15,988581.31,1536872.67
