Country,1960-1965,1966-1971,1972-1977,1978-1983,1984-1988,1989-1993,1994-1998,1999-2003,2004-2008,2009-2013,2014-2018,2019-2023
Montenegro,1.62,1.74,1.72,2.02,2.12,1.56,1.84,2.85,3.28,3.45,2.85,3.72
Pakistan,1.09,1.02,1.05,1.07,1.08,1.07,1.05,1.03,1.04,1.07,1.12,1.09
North Macedonia,1.31,1.2,1.25,1.98,1.79,1.82,2.34,2.63,2.94,2.98,3.13,3.69
Kyrgyzstan,1.66,1.2,1.07,0.95,0.88,0.75,1.06,1.39,1.18,1.13,0.61,0.94
China,0.91,0.86,0.95,1.09,1.25,1.36,1.6,1.86,2.13,2.24,2.42,3.22
Libya,1.31,1.13,0.86,0.69,0.62,0.72,0.88,0.98,1.08,1.22,1.27,1.2
Iraq,0.88,1.08,1.14,1.12,1.01,0.88,0.76,0.72,0.71,0.71,0.74,0.79
Israel,1.54,1.84,2.19,2.68,2.38,2.26,2.39,2.26,2.22,2.21,2.28,2.97
"Micronesia, Federated States of",0.94,0.88,0.83,0.79,0.79,0.83,0.92,0.83,0.9,0.78,0.94,1.52
Congo,0.9,0.95,0.91,0.86,0.86,0.88,0.75,0.73,0.7,0.69,0.65,0.67
Cyprus,1.7,2.03,2.59,2.51,2.41,2.31,2.31,2.34,2.49,2.84,3.17,3.56
Portugal,2.0,2.15,2.52,2.88,3.09,3.21,3.76,3.95,4.22,4.25,4.53,5.16
Sao Tome and Principe,0.91,1.15,1.16,1.16,1.15,1.19,1.22,1.15,1.08,0.96,0.85,0.89
Armenia,1.43,1.05,1.29,1.41,1.08,0.82,1.8,2.79,2.68,2.82,1.69,2.58
American Samoa,0.64,0.58,0.79,0.76,0.88,0.85,0.81,0.83,1.0,1.14,1.33,1.76
Georgia,1.73,1.63,1.79,1.86,1.69,1.44,2.34,3.46,3.32,3.69,2.47,2.99
Andorra,1.34,1.1,1.55,2.06,2.35,2.41,2.89,3.17,2.68,2.31,3.15,3.68
