Country,1960-1967,1968-1974,1975-1981,1982-1988,1989-1995,1996-2002,2003-2009,2010-2016,2017-2023
Mongolia,0.8,0.8,0.77,0.65,0.52,0.49,0.5,0.57,0.59
Madagascar,0.45,0.48,0.53,0.6,0.51,0.5,0.49,0.47,0.44
Yemen,0.52,0.45,0.43,0.41,0.39,0.38,0.39,0.41,0.42
Papua New Guinea,0.17,0.15,0.12,0.18,0.27,0.33,0.37,0.42,0.46
Faroe Islands,1.45,1.47,1.55,1.86,2.19,2.47,2.37,2.63,3.4
Switzerland,1.61,1.7,2.11,2.43,2.34,2.52,2.72,2.9,3.47
Guam,0.14,0.19,0.26,0.4,0.51,0.78,1.02,1.2,1.65
"Korea, Republic of",0.39,0.43,0.42,0.49,0.63,0.85,1.23,1.96,2.62
American Samoa,0.4,0.35,0.45,0.44,0.54,0.45,0.53,0.65,0.84
Sint Maarten (Dutch part),0.84,0.55,0.4,0.52,0.52,0.52,0.5,0.64,0.9
Afghanistan,0.42,0.4,0.38,0.32,0.31,0.32,0.33,0.34,0.35
Marshall Islands,1.04,0.62,0.5,0.42,0.43,0.34,0.33,0.24,0.39
Bosnia and Herzegovina,0.49,0.63,0.92,1.1,0.86,1.19,2.24,2.73,2.42
Malta,1.19,1.29,1.46,1.78,1.77,2.22,2.4,2.84,3.24
Viet Nam,0.74,0.79,0.87,0.87,0.89,0.92,0.99,1.01,0.98
Macao,0.56,0.62,0.84,1.08,1.02,1.17,1.3,1.33,1.74
Benin,0.88,0.78,0.72,0.66,0.57,0.5,0.46,0.45,0.47
Fiji,0.45,0.41,0.39,0.43,0.46,0.44,0.52,0.63,0.73
Uganda,0.35,0.35,0.42,0.44,0.41,0.35,0.27,0.2,0.17
Argentina,0.77,0.92,1.06,1.18,1.32,1.48,1.59,1.63,1.79
Kuwait,0.3,0.25,0.2,0.13,0.2,0.21,0.25,0.29,0.52
Portugal,1.25,1.37,1.59,2.01,2.3,2.7,3.14,3.62,3.83
