Country,1950-1965,1970-1985,1990-2005,2010-2020,2025-2035
Georgia,0.0,0.0,0.0,0.0,0.0
Congo,0.0,0.0,0.0,0.0,0.0
Finland,0.0,0.0,0.0,0.0,0.0
Luxembourg,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0
Ecuador,0.0,0.0,0.0,0.0,0.0
Paraguay,0.0,0.0,0.0,0.0,0.0
"Venezuela, Bolivarian Republic of",0.0,0.0,0.0,0.0,0.0
Oman,0.0,0.0,0.0,0.0,0.0
Comoros,0.0,0.0,0.0,0.0,0.0
United Kingdom,8175757.5,7031484.5,7149486.0,8669943.33,3280247.33
Saint Lucia,0.0,0.0,0.0,0.0,0.0
Malawi,0.0,0.0,0.0,0.0,0.0
Canada,0.0,0.0,1258808.0,5854418.67,6790548.33
Suriname,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,2631802.25,6382438.0,5835409.33
Mexico,3112085.25,2207736.75,0.0,1726493.0,11535802.67
Mauritania,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0
Serbia,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0
North Macedonia,0.0,0.0,0.0,0.0,0.0
Guatemala,0.0,0.0,0.0,0.0,0.0
Czechia,0.0,0.0,0.0,0.0,0.0
"Korea, Democratic People's Republic of",0.0,0.0,0.0,0.0,0.0
China,4751575.25,9029658.75,36246608.5,76855099.33,123873124.67
United Arab Emirates,0.0,0.0,0.0,0.0,0.0
Argentina,6346689.75,6869792.5,0.0,0.0,0.0
Eritrea,0.0,0.0,0.0,0.0,0.0
