Country,1960-1965,1966-1971,1972-1977,1978-1983,1984-1989,1990-1995,1996-2001,2002-2007,2008-2013,2014-2018,2019-2023
Hong Kong,48.6,48.95,48.5,47.86,48.57,49.44,50.42,51.76,52.99,53.72,53.89
Eritrea,50.81,50.86,50.9,51.01,51.03,50.96,50.97,51.0,50.82,50.74,50.67
Japan,50.87,50.81,50.71,50.69,50.76,50.85,50.98,51.15,51.28,51.35,51.39
Tunisia,49.61,49.7,49.87,49.66,49.63,49.66,49.8,50.05,50.24,50.4,50.6
Egypt,49.55,49.58,49.76,49.82,49.68,49.52,49.4,49.33,49.36,49.38,49.43
nld_curacao,50.41,50.7,51.07,51.51,51.98,52.53,53.36,53.82,54.14,53.55,52.0
kos,49.23,49.19,48.96,48.66,48.6,48.84,48.76,49.15,49.95,50.11,50.15
Cayman Islands,52.83,52.34,51.6,51.09,50.9,50.91,50.92,50.7,50.33,49.78,49.58
United Arab Emirates,38.59,35.15,29.79,30.25,33.36,32.81,31.93,30.65,27.67,29.21,30.45
El Salvador,50.43,50.05,50.11,50.65,51.32,51.54,51.78,52.05,52.2,52.27,52.38
Israel,49.68,49.94,50.08,50.31,50.6,50.78,50.75,50.63,50.49,50.29,50.14
French Polynesia,48.54,48.51,47.79,47.44,47.69,47.9,48.23,48.56,48.85,49.17,49.41
Denmark,50.39,50.42,50.51,50.64,50.72,50.69,50.59,50.5,50.42,50.33,50.26
Bermuda,49.01,48.79,49.43,50.26,50.52,50.84,51.19,51.32,51.37,51.44,51.74
Niger,52.42,51.7,51.15,50.7,50.25,49.92,49.69,49.49,49.37,49.3,49.28
Guam,40.31,43.79,46.37,47.9,47.41,47.84,49.05,49.24,49.27,49.43,49.63
Ireland,49.77,49.8,49.79,49.83,50.13,50.31,50.34,50.16,50.34,50.51,50.45
"Iran, Islamic Republic of",48.61,48.47,48.44,48.4,48.72,49.06,49.24,49.26,49.2,49.34,49.47
Cyprus,50.72,50.54,50.63,49.91,49.46,49.35,49.49,49.68,49.85,49.9,49.91
