Country,1960-1966,1967-1973,1974-1980,1981-1987,1988-1993,1994-1999,2000-2005,2006-2011,2012-2017,2018-2023
Singapore,50.83,51.42,51.21,50.74,50.26,50.78,50.8,51.53,52.21,52.28
Lebanon,50.42,50.53,50.21,49.59,49.23,49.38,49.52,49.58,49.52,48.6
Guam,59.39,55.49,52.76,52.33,52.51,51.29,50.73,50.77,50.62,50.39
Saint Martin (French part),49.21,49.55,49.77,50.76,51.07,49.59,48.4,47.56,47.52,47.54
India,51.64,51.71,51.78,51.76,51.69,51.71,51.74,51.72,51.68,51.62
Poland,48.48,48.61,48.72,48.77,48.71,48.58,48.56,48.45,48.4,48.4
Somalia,49.82,49.89,49.95,50.02,49.88,49.9,50.02,50.1,50.12,50.13
Thailand,50.11,50.18,50.18,50.1,49.94,49.49,49.23,49.12,48.91,48.62
Mauritania,49.62,49.78,49.85,49.91,49.98,50.06,49.89,49.29,48.82,48.97
Switzerland,48.6,48.83,48.69,48.71,48.83,48.85,48.91,49.16,49.46,49.63
American Samoa,51.23,51.0,51.07,51.21,51.28,51.06,50.81,50.53,50.13,49.58
"Palestine, State of",50.59,50.29,49.75,50.02,50.22,50.37,50.2,49.91,49.8,49.86
Cayman Islands,47.2,47.85,48.64,49.04,49.1,49.07,49.22,49.49,50.11,50.4
Saudi Arabia,50.86,51.45,53.45,55.91,56.96,57.19,57.09,57.23,57.44,57.86
Rwanda,49.6,49.75,49.86,49.84,49.76,48.5,48.05,48.32,48.62,48.87
Monaco,45.06,45.54,46.16,46.97,47.66,48.26,48.69,48.81,49.04,49.0
Gibraltar,48.54,50.15,50.42,50.65,51.01,50.42,49.79,49.88,49.92,49.94
Syrian Arab Republic,51.24,51.06,50.93,50.79,50.72,50.64,50.57,50.5,50.34,50.1
Burundi,48.47,48.71,48.82,49.09,49.18,49.2,49.27,49.43,49.58,49.65
French Polynesia,51.45,51.59,52.52,52.38,52.19,51.89,51.52,51.27,50.92,50.61
Bangladesh,51.85,51.68,51.36,51.23,51.21,51.11,50.83,50.19,49.79,49.61
