Country,1960-1966,1967-1973,1974-1980,1981-1987,1988-1993,1994-1999,2000-2005,2006-2011,2012-2017,2018-2023
China,689206428.57,818353571.43,942470000.0,1037787857.14,1141609166.67,1223164166.67,1283848333.33,1327926666.67,1375525833.33,1409475000.0
Denmark,4685995.0,4928205.29,5087178.57,5118078.14,5152890.83,5268939.33,5381476.5,5505613.5,5671075.33,5857697.33
Nicaragua,1964423.0,2447587.57,3036995.71,3672170.0,4278618.0,4846662.0,5289825.83,5732322.33,6254504.5,6806215.67
Thailand,29170063.14,35820207.14,42834274.43,49621590.86,55629724.33,60570486.0,64474759.5,67545251.17,70082700.67,71501773.5
American Samoa,22014.43,26873.14,30851.14,38293.57,48147.0,54994.0,57925.33,55606.0,51697.0,45859.33
Cayman Islands,8998.14,10829.14,15100.71,20460.14,26821.0,34872.5,43173.83,51852.5,60229.67,67413.5
"Iran, Islamic Republic of",23321560.29,28495598.14,35027057.86,45621936.57,56444760.33,62132605.83,67790886.33,73825513.83,80891199.83,87519787.67
Uganda,8333511.57,10294505.71,12367378.71,14684346.29,17923559.17,21624877.33,25962753.33,30993813.17,37039357.33,45092463.83
Comoros,206787.86,243089.43,299015.14,366492.14,436226.33,499826.83,564585.5,636602.5,722778.33,813989.83
Tunisia,4348884.86,5053525.43,6093454.29,7293619.0,8527962.17,9481826.0,10142894.5,10742738.0,11493084.0,12203560.67
Burkina Faso,5005156.71,5614423.29,6443372.0,7764316.43,9249001.5,10782949.83,12852936.0,15440124.83,18458226.17,21815486.33
Romania,18800386.71,20221259.57,21697139.43,22649872.29,22996612.33,22594474.5,21775199.33,20562750.5,19842884.17,19222675.33
South Sudan,3043259.0,3361710.29,3905465.86,4602599.14,4852441.33,5503131.67,6861185.0,9076320.67,10989924.83,10699909.0
Madagascar,5493412.57,6660034.14,8206357.57,10030013.29,12085831.17,14563905.83,17484214.17,20830859.83,24548780.67,28576325.17
United Kingdom,53585221.43,55633873.57,56231272.14,56490872.0,57329422.83,58256381.0,59569892.33,62046287.17,64869576.17,67257532.83
Northern Mariana Islands,9596.57,11336.86,15995.86,29043.0,46770.0,59236.5,75420.83,58800.83,51622.0,49762.83
Sao Tome and Principe,70260.57,77782.57,90498.43,104918.71,121535.83,136401.5,152158.67,175980.67,199161.67,221154.5
Netherlands,11967871.57,13029549.14,13853054.71,14440018.0,15017473.83,15583714.83,16157928.5,16502041.0,16920989.17,17521918.67
Greece,8476006.57,8805596.14,9303702.0,9880485.57,10250446.0,10637890.17,10906747.83,11079988.83,10875694.67,10585080.67
