Country,2004-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019,2021-2021
United States,1.2,1.2,1.15,1.3,1.2,1.4,1.4,1.3,1.4,1.2,1.1,0.5
Guinea,,59.4,,,48.5,,,,,40.8,,
Cabo Verde,,27.8,,,,,19.7,,,,,
Samoa,,,14.4,,13.4,,,,,,,
South Sudan,,,48.0,,,,,70.5,,,,
Maldives,,,18.7,,,,,1.0,,,0.5,
Kyrgyzstan,39.15,32.0,24.1,24.65,26.15,23.6,25.9,23.6,23.5,20.7,19.4,19.4
Turkmenistan,,,,,,,,,,,,
Iraq,,5.8,,,5.6,,,,,,,
Australia,0.7,,0.5,0.5,,0.6,,0.6,,0.6,,
India,58.3,,54.9,48.9,,,47.3,46.8,43.1,39.4,37.9,38.2
Congo,58.8,,,49.2,,,,,,,,
Djibouti,,,,,40.1,,,,38.4,,,
Poland,4.8,2.2,1.25,1.25,1.2,1.2,1.1,0.8,0.6,0.5,0.2,0.3
Nepal,,,,35.7,,,,,,,,
"Bolivia, Plurinational State of",22.3,19.95,14.3,10.2,10.15,8.7,8.8,9.8,9.1,7.8,5.8,5.4
Colombia,25.25,,21.85,18.45,16.15,14.4,13.7,13.5,13.0,13.1,14.0,16.5
Nicaragua,26.7,,23.8,,,15.6,,,,,,
"Korea, Republic of",,0.7,0.7,0.9,0.7,0.5,,0.4,,,,
kos,24.9,25.0,20.3,18.9,10.6,10.6,8.8,8.5,8.5,,,
Malta,,0.55,0.35,0.3,0.15,0.0,0.1,0.2,0.2,0.2,0.4,
Armenia,26.5,19.15,17.35,19.0,16.75,16.1,14.2,13.7,13.8,14.4,15.2,14.4
