Country,2000-2002,2003-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017,2018-2019
Iraq,38.63,36.6,34.4,32.5,30.85,29.55,28.7,28.45,28.5
Central African Republic,50.7,50.2,49.7,48.9,48.3,47.85,47.75,47.35,46.9
France,8.33,8.47,8.6,8.6,8.65,8.85,9.25,9.85,10.45
United Kingdom,9.23,9.0,9.0,9.1,9.25,9.45,9.8,10.25,10.9
Mongolia,15.57,16.4,15.85,15.3,14.65,14.3,14.15,14.1,14.4
Indonesia,32.47,30.2,28.6,27.5,26.95,27.1,27.9,29.25,30.8
South Africa,34.7,33.07,31.3,29.9,28.9,28.6,28.8,29.3,30.2
Chad,52.43,52.43,51.95,51.05,50.05,48.95,47.9,46.7,45.65
Dominican Republic,36.17,33.87,31.45,29.7,28.7,27.8,27.4,26.75,26.45
Myanmar,46.63,43.9,41.7,40.25,39.5,39.5,40.2,41.05,41.9
El Salvador,11.13,10.63,10.4,10.15,9.95,9.9,9.9,10.05,10.5
New Zealand,8.1,8.13,8.25,8.35,8.55,8.8,9.15,9.65,10.25
Saint Kitts and Nevis,20.0,18.87,18.15,17.45,16.65,15.7,14.95,14.8,15.25
Fiji,34.33,33.2,32.55,31.95,31.65,31.5,31.45,31.65,31.9
South Sudan,39.1,38.03,36.9,35.85,34.95,34.65,34.75,35.1,35.5
Austria,11.53,11.37,11.3,11.3,11.35,11.55,11.9,12.35,12.85
Saint Lucia,18.37,17.3,16.4,15.6,14.7,13.95,13.7,13.85,14.2
India,54.03,54.13,54.1,53.85,53.45,53.1,52.8,52.7,52.95
"Congo, The Democratic Republic of the",52.53,51.87,50.75,49.35,47.65,45.95,44.45,43.25,42.5
Tajikistan,38.47,35.5,33.65,32.25,31.05,31.15,31.8,33.3,34.85
Morocco,34.8,33.57,32.4,31.25,30.3,29.7,29.5,29.55,29.8
"Venezuela, Bolivarian Republic of",26.8,25.57,23.75,22.2,21.1,21.0,21.7,22.7,23.95
"Korea, Democratic People's Republic of",34.33,32.83,32.2,31.75,31.6,31.8,32.35,33.0,33.7
