Country,2000-2001,2002-2003,2004-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017,2018-2019,2020-2021,2022-2022
India,49.75,48.9,48.1,47.1,45.65,43.4,41.0,38.8,36.8,34.9,33.0,31.7
Fiji,5.95,6.7,7.3,8.45,8.95,8.75,8.4,8.05,7.55,7.25,7.1,7.1
Argentina,9.2,8.55,7.95,7.4,7.15,7.05,7.15,7.6,8.05,8.45,9.05,9.5
Bahrain,10.6,9.75,9.15,8.5,7.8,7.15,6.65,6.25,5.9,5.5,5.2,5.0
Barbados,8.2,8.2,8.2,8.1,8.05,7.75,7.4,7.05,6.75,6.45,6.15,6.0
Viet Nam,40.6,37.1,33.95,31.4,29.05,26.9,24.95,23.8,22.55,21.35,20.1,19.3
Türkiye,17.25,16.55,15.8,14.45,12.4,10.3,8.8,7.75,7.0,6.35,5.85,5.5
Mozambique,48.35,47.35,46.5,45.75,44.55,43.3,42.4,41.6,40.45,38.9,37.35,36.4
Philippines,34.6,34.0,33.7,33.5,33.05,32.45,31.8,31.35,30.9,30.1,29.35,28.8
Comoros,43.85,43.3,42.15,40.45,37.95,34.6,31.05,27.9,25.1,22.35,20.1,18.8
Tunisia,12.4,11.65,11.05,10.5,9.8,9.15,8.75,8.6,8.7,8.8,8.75,8.6
Yemen,55.6,56.3,56.25,55.25,52.85,49.5,46.05,43.0,40.4,38.15,36.2,35.1
Cambodia,49.9,47.6,45.3,42.95,40.0,36.5,32.9,29.7,27.15,25.15,23.4,22.3
Solomon Islands,31.45,31.9,32.55,33.1,33.0,32.3,31.6,31.1,30.8,30.5,30.0,29.8
Lithuania,7.5,7.2,6.9,6.6,6.2,5.7,5.35,5.25,5.05,4.85,4.65,4.5
Kuwait,4.0,4.0,4.05,4.25,4.4,4.55,4.9,5.3,5.8,6.2,6.6,6.9
Netherlands,1.3,1.3,1.4,1.45,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6
Pakistan,40.8,42.65,44.4,45.65,45.7,44.8,43.4,41.8,39.95,37.7,35.45,34.0
