Country,1976-1981,1983-1987,1988-1994,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022
Kuwait,70.12,79.94,73.45,90.39,100.42,110.89,101.17,97.23,,,
Tajikistan,,,,92.59,95.04,97.95,98.22,93.61,90.8,90.25,
Estonia,,,,97.79,104.51,103.74,101.15,98.77,97.75,96.75,97.52
"Virgin Islands, British",,91.44,118.62,109.25,104.45,98.19,87.66,94.7,96.9,77.67,74.24
Lithuania,,,,100.73,102.4,102.88,98.96,100.53,101.13,103.52,103.36
Hong Kong,101.23,99.03,97.56,96.36,100.32,99.64,97.64,105.36,97.45,100.43,107.83
Niger,9.84,19.67,16.45,18.61,22.16,32.8,37.84,46.57,67.22,63.73,56.99
Tuvalu,,,119.18,110.55,97.04,106.82,,,102.78,92.0,99.01
Aruba,,,,95.59,96.41,99.87,97.51,101.0,105.2,,
Lesotho,45.57,49.08,57.37,59.32,65.34,76.33,78.53,80.35,80.33,,74.59
Sierra Leone,22.0,25.8,,,,74.59,,62.75,63.86,76.91,90.36
Puerto Rico,,,,,,,,,90.6,85.77,
Uruguay,67.09,88.57,93.78,97.83,95.29,97.55,101.62,100.37,101.37,99.37,100.72
Brunei Darussalam,102.23,77.33,93.37,102.31,108.17,104.51,105.62,106.02,100.64,99.97,100.35
Tonga,96.43,96.23,109.09,103.04,,98.55,,101.24,,,109.55
Trinidad and Tobago,,91.66,92.8,91.57,90.74,90.74,88.57,,,,
Croatia,,,84.18,96.95,100.7,100.32,97.25,97.68,97.96,98.1,96.01
Andorra,,,,,100.45,,,,66.96,65.58,62.39
