Country,1970-1975,1976-1981,1982-1987,1988-1993,1994-1998,1999-2003,2004-2008,2009-2013,2014-2018,2019-2023
Brunei Darussalam,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Seychelles,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Chile,6.0,6.0,6.0,6.0,6.4,6.0,6.0,6.0,6.0,6.0
Cuba,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Haiti,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Jordan,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Botswana,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Liechtenstein,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Bulgaria,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Burkina Faso,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Finland,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Singapore,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
"Venezuela, Bolivarian Republic of",6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Ethiopia,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Gabon,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.6,5.0,5.0
Trinidad and Tobago,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Bosnia and Herzegovina,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.8,5.0,5.0
Iceland,6.0,6.0,6.0,6.5,7.0,7.0,7.0,7.0,7.0,7.0
Antigua and Barbuda,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Uruguay,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Morocco,5.0,5.0,5.0,5.5,6.0,6.0,6.0,6.0,6.0,6.0
Slovakia,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Japan,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Luxembourg,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Malawi,6.0,6.0,6.0,6.0,6.4,6.0,6.0,6.0,6.0,6.0
Egypt,6.0,6.0,6.0,5.33,5.0,5.0,5.8,6.0,6.0,6.0
"Congo, The Democratic Republic of the",6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Niger,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Sri Lanka,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Guam,,8.0,8.0,8.0,8.0,,,,8.0,8.0
