Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2018,2019-2020,2021-2022
Costa Rica,3.8,4.17,4.47,4.3,4.13,4.17,4.47,3.97,4.4,4.9,4.75,4.8
Latvia,8.77,9.6,8.93,7.87,6.67,5.53,4.6,3.97,3.8,3.7,3.55,3.35
India,14.0,12.9,12.13,11.5,10.77,10.0,9.03,7.9,6.77,5.95,5.35,4.9
Benin,14.33,13.43,12.67,12.0,11.53,11.27,11.2,11.33,11.4,11.25,11.15,10.95
South Africa,14.5,18.0,22.1,26.07,28.23,26.67,22.1,17.57,14.83,13.65,13.2,13.1
China,3.67,3.57,3.43,3.3,3.17,3.03,2.87,2.73,2.63,2.6,2.5,2.5
Malta,2.57,2.57,2.5,2.4,2.27,2.1,1.9,1.73,1.6,1.5,1.5,1.5
Kenya,15.0,16.7,17.73,17.67,16.7,15.2,13.5,11.8,10.63,10.15,9.85,9.65
Greece,3.97,3.8,3.67,3.6,3.53,3.43,3.13,2.63,2.2,1.95,1.85,1.7
Netherlands,2.53,2.5,2.4,2.33,2.1,1.8,1.57,1.47,1.4,1.4,1.4,1.5
Lithuania,7.73,8.63,8.4,7.9,7.4,6.93,6.17,5.1,4.2,3.65,3.45,3.25
Mongolia,10.9,11.73,10.53,8.23,7.27,7.27,6.73,5.97,5.17,4.65,4.5,4.5
"Venezuela, Bolivarian Republic of",7.67,8.63,8.33,10.37,13.13,13.73,14.4,14.77,15.53,15.75,15.35,15.45
"Virgin Islands, British",6.97,6.53,6.27,6.07,5.97,5.9,5.9,5.9,5.8,5.65,5.55,5.35
Bulgaria,4.73,4.8,4.57,4.13,3.83,3.7,3.6,3.3,3.13,3.1,3.2,3.3
Philippines,8.5,7.2,6.5,6.43,6.5,6.5,6.47,6.17,5.9,5.65,5.55,5.75
Kuwait,8.0,3.6,3.6,3.4,3.03,2.7,2.43,2.43,2.7,2.85,2.9,2.9
United Kingdom,3.07,3.0,3.0,2.93,2.77,2.57,2.23,1.83,1.8,1.9,1.8,1.75
