Country,2004-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017,2018-2018,2019-2019
Mauritius,6.0,6.0,4.0,4.0,4.0,4.0,4.5,5.0,5.0
Albania,6.0,6.0,6.0,6.0,5.5,5.0,5.0,5.0,5.0
India,,,,,8.0,8.0,9.0,9.0,9.0
Uzbekistan,12.0,12.0,12.0,12.0,12.0,10.5,9.0,9.0,9.0
"Korea, Republic of",7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Guinea-Bissau,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Nigeria,,,,,12.31,12.31,12.04,11.77,11.77
Ethiopia,9.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
Chad,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Egypt,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Saint Lucia,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Cambodia,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Singapore,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
"Bolivia, Plurinational State of",7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Slovenia,8.0,8.0,8.0,7.5,7.0,7.0,7.0,7.0,7.0
Angola,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Papua New Guinea,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Benin,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Bahamas,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
United Kingdom,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Suriname,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
Malawi,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Mozambique,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0
Saudi Arabia,5.0,5.0,5.0,5.0,5.0,4.0,2.5,2.0,2.0
Senegal,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0
Brazil,,,,,13.61,13.61,13.61,13.61,13.61
