Country,1967-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007
Belgium,27.16,40.05,53.93,25.67,22.79,24.79,16.9,10.71
Australia,27.84,24.83,28.89,23.75,22.32,9.43,11.2,8.37
Norway,39.59,40.51,42.72,32.61,25.01,15.0,9.59,7.99
United States,40.9,44.46,51.68,35.88,28.33,20.13,8.26,8.95
Denmark,,59.47,55.88,42.97,31.52,14.59,16.52,14.72
New Zealand,,30.64,32.92,27.23,28.94,21.25,8.92,8.44
Spain,,,,,18.94,19.61,9.09,9.06
Ireland,,,,34.53,30.2,11.05,11.12,7.09
United Kingdom,28.55,67.77,49.18,34.43,23.61,22.84,20.33,8.58
Austria,68.71,71.77,43.79,9.78,13.99,18.02,7.21,7.41
France,34.82,25.7,21.34,18.85,16.18,12.11,10.51,7.22
Greece,,,,,,4.56,5.61,2.12
Canada,18.33,29.56,44.7,40.41,30.22,20.99,11.36,11.95
Italy,32.2,64.72,40.23,37.34,33.14,14.38,20.35,8.09
Germany,37.46,38.57,32.42,21.1,21.29,14.74,8.79,6.6
Portugal,,,,,5.26,11.28,5.17,2.37
Japan,31.19,41.3,33.27,27.61,25.14,16.89,16.78,13.34
Netherlands,37.1,35.34,38.69,34.36,32.56,22.75,11.74,6.57
Finland,,38.85,62.05,46.07,36.44,24.77,12.65,10.55
Luxembourg,,,,,37.8,14.53,13.31,9.08
Sweden,34.88,48.23,51.74,35.81,29.91,17.92,7.8,8.71
Switzerland,55.44,51.82,58.9,51.49,34.52,27.93,13.87,17.18
