Country,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2015,2016-2017
Cameroon,,,,,19.74,25.02,24.16
Mauritania,34.44,27.81,28.82,36.3,51.74,52.59,38.19
Saint Lucia,19.15,,,15.91,13.6,12.12,11.48
Slovakia,13.21,13.29,13.16,12.3,11.22,10.96,10.87
Maldives,16.67,14.68,12.22,8.58,7.7,6.16,6.13
Liberia,17.96,,15.63,13.09,13.92,15.03,14.61
Argentina,15.17,19.35,19.1,16.31,,,
Eritrea,55.91,53.82,57.72,47.44,41.65,40.98,40.34
Bangladesh,44.39,37.07,28.38,30.18,34.6,,38.87
Togo,44.36,,,,33.93,,
India,35.57,36.47,,30.41,31.32,30.45,26.41
Denmark,10.21,,,,,10.15,
China,17.74,19.08,16.73,15.4,13.91,12.53,12.28
Pakistan,,25.25,23.67,,19.88,17.5,16.46
Ecuador,13.3,13.12,14.33,22.92,23.33,24.12,23.25
Malaysia,18.02,17.42,,,,,
Sweden,11.89,10.73,9.86,9.58,9.97,11.15,11.33
Yemen,22.39,,,11.69,11.09,,26.76
