Country,1996-1998,2000-2002,2003-2004,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2022
Dominican Republic,47.83,47.16,38.97,45.59,50.24,49.76,49.76,53.22,52.62,52.14,53.57,55.22
Central African Republic,20.65,17.88,12.27,9.31,9.47,9.33,11.61,8.82,5.95,6.43,6.9,5.69
El Salvador,50.82,50.14,51.44,50.25,57.28,62.2,60.66,60.15,53.1,49.29,50.0,37.21
Honduras,29.08,30.89,34.81,32.35,46.12,43.78,47.87,41.5,35.24,34.52,33.57,33.41
Latvia,76.36,72.62,77.95,76.47,78.88,78.23,78.91,82.6,81.9,82.86,84.05,85.07
Monaco,,,,,,,,,87.14,85.71,87.38,89.81
Uruguay,75.82,71.55,62.92,63.24,63.35,68.66,70.14,73.03,71.67,72.86,73.1,73.46
Fiji,55.43,49.02,35.23,41.18,32.52,25.12,32.7,39.19,44.76,57.38,53.1,51.19
Finland,95.92,97.83,99.23,96.81,93.93,98.56,97.87,98.57,97.14,96.43,98.33,98.11
Canada,92.93,92.41,92.94,93.63,94.9,96.41,95.73,96.43,94.05,95.95,95.0,95.02
Togo,30.98,20.59,22.65,20.83,17.96,20.33,19.19,20.78,21.19,22.62,26.67,29.38
Suriname,27.45,26.83,28.88,32.35,30.1,28.47,32.7,32.43,28.33,28.57,24.52,23.23
Oman,55.43,63.13,69.67,66.67,70.15,66.75,64.22,69.95,70.24,64.52,64.05,64.21
Colombia,48.1,56.64,52.09,54.41,59.95,55.26,60.9,64.93,65.95,63.1,61.43,58.3
Syrian Arab Republic,13.32,13.54,14.8,13.24,10.44,20.81,12.32,3.82,3.81,3.33,3.33,4.03
Barbados,89.13,85.64,80.86,81.86,79.61,68.18,69.43,65.39,67.86,70.48,65.71,69.68
Ghana,40.49,45.28,44.45,50.74,51.7,54.07,54.98,52.01,45.48,45.71,45.95,45.26
Belize,60.6,60.16,53.82,49.51,40.29,39.71,37.2,34.84,34.52,29.29,31.43,36.26
