Country,1996-2000,2002-2004,2005-2007,2008-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2022
Finland,0.26,0.21,0.21,0.23,0.23,0.23,0.22,0.22,0.23,0.23
"Congo, The Democratic Republic of the",0.38,0.22,0.17,0.16,0.17,0.18,0.17,0.17,0.17,0.17
Mauritania,0.37,0.28,0.17,0.16,0.17,0.18,0.18,0.18,0.18,0.18
United Kingdom,0.26,0.21,0.2,0.23,0.22,0.23,0.22,0.22,0.23,0.23
Cyprus,0.32,0.23,0.22,0.25,0.26,0.25,0.23,0.24,0.25,0.23
Grenada,0.41,0.31,0.25,0.25,0.28,0.32,0.26,0.27,0.29,0.31
"Korea, Democratic People's Republic of",0.36,0.22,0.21,0.21,0.22,0.23,0.23,0.22,0.23,0.25
Yemen,0.32,0.21,0.19,0.18,0.18,0.2,0.21,0.2,0.21,0.24
Iraq,0.32,0.22,0.21,0.23,0.23,0.24,0.24,0.23,0.24,0.27
North Macedonia,0.31,0.21,0.19,0.19,0.2,0.2,0.21,0.23,0.23,0.24
Bahrain,0.32,0.21,0.2,0.21,0.21,0.23,0.23,0.23,0.23,0.23
Cameroon,0.32,0.2,0.15,0.15,0.16,0.17,0.16,0.16,0.16,0.17
Trinidad and Tobago,0.3,0.22,0.21,0.26,0.26,0.25,0.23,0.22,0.21,0.22
Côte d'Ivoire,0.32,0.2,0.16,0.15,0.16,0.17,0.16,0.16,0.16,0.17
United Arab Emirates,0.32,0.21,0.2,0.21,0.19,0.2,0.2,0.2,0.2,0.21
"Tanzania, United Republic of",0.32,0.2,0.16,0.15,0.16,0.17,0.16,0.16,0.16,0.17
China,0.26,0.19,0.18,0.19,0.18,0.19,0.19,0.19,0.2,0.21
"Iran, Islamic Republic of",0.32,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.21,0.22
Italy,0.26,0.21,0.2,0.23,0.22,0.23,0.22,0.22,0.23,0.23
Cambodia,0.33,0.23,0.19,0.17,0.17,0.18,0.19,0.19,0.2,0.2
Saint Vincent and the Grenadines,,0.3,0.25,0.26,0.27,0.29,0.25,0.26,0.28,0.29
Argentina,0.26,0.19,0.18,0.19,0.18,0.19,0.19,0.19,0.2,0.21
Paraguay,0.3,0.2,0.19,0.2,0.2,0.22,0.22,0.21,0.22,0.22
Hong Kong,0.26,0.21,0.2,0.23,0.22,0.23,0.23,0.22,0.23,0.25
Lao People's Democratic Republic,0.37,0.25,0.2,0.17,0.17,0.19,0.2,0.21,0.22,0.22
El Salvador,0.29,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.21,0.21
Monaco,,,,,,,0.47,0.48,0.5,0.48
Russian Federation,0.24,0.18,0.17,0.18,0.17,0.19,0.19,0.2,0.2,0.22
