Country,1961-1969,1970-1978,1979-1987,1988-1996,1997-2004,2005-2012,2013-2020
Viet Nam,9653.43,7827.44,6319.89,5173.11,4534.22,4175.54,3844.98
Slovenia,,,,9376.1,9382.64,9195.12,9007.99
Albania,14488.86,11483.77,9476.54,8360.99,8730.95,9132.82,9367.92
Fiji,60448.44,50372.51,41326.49,36411.13,34157.35,31854.59,31111.03
Mongolia,30778.34,24155.61,19077.22,15646.05,14146.67,13089.93,11376.61
Denmark,1261.73,1192.84,1172.22,1158.39,1122.07,1089.93,1046.52
Nauru,1739.23,1410.75,1250.73,1012.14,965.1,971.82,868.57
"Bolivia, Plurinational State of",73818.66,60626.34,49687.37,41150.43,35055.51,30491.09,26781.16
Belgium,1272.33,1229.52,1217.26,1195.44,1166.84,1114.13,1057.35
Benin,3761.96,3119.77,2473.16,1883.05,1453.71,1142.26,903.73
Mexico,9608.23,7213.54,5697.59,4818.77,4153.13,3705.57,3355.54
Singapore,319.87,270.49,229.15,186.64,148.73,124.86,107.53
North Macedonia,,,,2706.72,2676.35,2747.45,2846.37
Rwanda,2825.48,2173.45,1631.88,1355.76,1159.51,960.99,787.65
Türkiye,7253.23,5858.15,4833.59,4040.22,3519.59,3166.04,2846.72
Egypt,32.57,26.38,21.14,16.74,13.89,11.81,9.96
Libya,417.8,317.92,208.67,158.38,133.63,114.32,110.72
"Tanzania, United Republic of",7236.73,5379.62,3976.16,3031.29,2410.54,1939.28,1525.56
Germany,1412.23,1363.39,1371.05,1332.0,1300.36,1309.79,1302.1
Nigeria,4433.61,3606.51,2797.83,2210.98,1776.85,1433.03,1159.17
Timor-Leste,16047.99,13906.56,12339.09,10538.08,9244.41,7816.07,6672.54
Yemen,343.9,275.25,205.51,146.47,111.56,88.95,71.08
Azerbaijan,,,,1070.32,1005.2,919.5,829.87
Malaysia,64208.37,51206.27,40585.85,31408.46,25011.77,20850.78,18306.7
Portugal,4254.82,4239.35,3833.34,3801.44,3685.37,3604.46,3675.64
Trinidad and Tobago,4119.72,3692.97,3281.27,2994.24,2871.55,2746.96,2595.06
Eswatini,6796.88,5336.31,4021.57,2938.74,2557.91,2418.16,2300.69
Belize,143593.99,118225.03,98074.4,80164.4,62772.44,49510.27,41257.41
