Country,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2020
Papua New Guinea,801.0,801.0,801.0,801.0,801.0,801.0
Paraguay,117.0,117.0,117.0,117.0,117.0,117.0
Germany,107.0,107.0,107.0,107.0,107.0,107.0
Japan,430.0,430.0,430.0,430.0,430.0,430.0
"Korea, Republic of",64.85,64.85,64.85,64.85,64.85,64.85
Sri Lanka,52.8,52.8,52.8,52.8,52.8,52.8
Sao Tome and Principe,2.18,2.18,2.18,2.18,2.18,2.18
Burkina Faso,12.5,12.5,12.5,12.5,12.5,12.5
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,,,,55.1,55.1,55.1
Norway,382.0,382.0,382.0,382.0,382.0,382.0
Angola,148.0,148.0,148.0,148.0,148.0,148.0
Vanuatu,10.0,10.0,10.0,10.0,10.0,10.0
Türkiye,227.0,227.0,227.0,227.0,227.0,227.0
Lao People's Democratic Republic,190.4,190.4,190.4,190.4,190.4,190.4
Honduras,90.66,90.66,90.66,90.66,90.66,90.66
Yemen,2.1,2.1,2.1,2.1,2.1,2.1
Estonia,,,,12.71,12.71,12.71
Brazil,5661.0,5661.0,5661.0,5661.0,5661.0,5661.0
Greece,58.0,58.0,58.0,58.0,58.0,58.0
Iceland,170.0,170.0,170.0,170.0,170.0,170.0
Congo,222.0,222.0,222.0,222.0,222.0,222.0
Netherlands,11.0,11.0,11.0,11.0,11.0,11.0
Antigua and Barbuda,0.05,0.05,0.05,0.05,0.05,0.05
Portugal,38.0,38.0,38.0,38.0,38.0,38.0
Mexico,409.0,409.0,409.0,409.0,409.0,409.0
Sierra Leone,160.0,160.0,160.0,160.0,160.0,160.0
Ecuador,442.4,442.4,442.4,442.4,442.4,442.4
