Country,1975-1979,1980-1984,1985-1989,1990-1993,1994-1997,1998-2001,2002-2005,2006-2009,2010-2013,2014-2017,2018-2021
Guyana,34.08,30.95,32.13,45.1,60.17,60.77,62.03,62.73,64.12,67.43,65.65
"Palestine, State of",,,0.0,0.0,26.53,52.34,54.94,29.59,0.0,0.0,0.0
United States,79.09,82.7,82.88,85.26,85.11,81.89,85.68,92.15,91.07,88.02,83.18
Switzerland,82.35,83.27,83.35,83.29,83.33,83.12,83.3,85.31,86.08,85.71,84.88
Malta,72.66,72.25,72.97,75.44,77.68,77.78,77.86,80.45,82.29,81.07,80.23
Lao People's Democratic Republic,0.0,0.0,3.03,15.28,15.61,16.15,16.69,16.43,15.73,15.78,17.92
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,37.81,73.71,78.03,78.43,78.44,73.5,72.11,73.41,70.73,70.87,72.25
Latvia,,,,55.61,61.76,62.0,62.03,58.58,61.75,62.92,62.17
Bulgaria,23.63,23.7,23.91,67.87,75.25,75.82,76.46,74.61,73.6,74.55,73.56
Viet Nam,28.83,27.73,27.2,24.63,23.81,23.9,22.81,22.91,24.06,25.36,25.87
Chile,0.0,0.0,10.45,76.87,80.09,82.93,87.51,92.81,93.39,92.1,91.21
United Kingdom,82.15,81.79,81.25,79.76,79.4,82.23,83.55,85.25,85.49,81.93,83.7
Poland,21.85,22.52,28.1,79.56,84.26,85.87,87.56,89.41,89.36,86.87,77.14
Denmark,84.66,84.69,84.81,85.09,84.8,84.65,85.56,87.8,87.58,87.53,87.37
Sierra Leone,24.59,19.77,19.19,13.11,24.22,56.95,56.35,58.7,59.74,59.6,61.85
Central African Republic,0.0,4.41,16.25,32.17,47.49,45.92,27.94,38.59,36.75,42.97,42.45
Rwanda,5.08,19.64,22.46,30.14,0.0,0.0,21.06,32.66,33.3,34.1,34.3
Colombia,67.34,67.42,66.26,70.56,71.32,69.75,72.09,72.39,73.78,75.08,75.7
Spain,51.88,88.32,89.31,89.1,89.42,89.34,88.47,89.87,90.9,87.76,89.77
Papua New Guinea,57.81,57.41,57.2,57.23,57.29,56.95,58.61,52.23,49.39,48.75,48.31
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.76,60.43,61.19,63.1
"Congo, The Democratic Republic of the",13.62,14.71,15.51,13.41,0.0,0.0,0.0,41.68,40.81,38.88,39.48
Namibia,,,,56.44,62.46,60.13,60.92,61.19,60.71,63.8,58.54
Sweden,89.45,89.05,88.8,89.08,89.64,89.31,89.55,91.46,93.35,92.0,89.88
New Zealand,82.77,83.45,83.92,84.26,84.74,85.32,85.72,88.57,90.13,89.56,88.93
Albania,19.45,19.44,19.33,42.48,47.31,47.87,55.6,63.87,64.61,65.59,65.62
Lebanon,34.21,33.9,33.43,32.93,37.85,42.09,47.86,53.52,56.19,56.55,51.06
Uzbekistan,,,,32.28,26.55,26.47,26.85,27.45,26.28,25.93,31.32
Australia,82.53,82.86,85.07,85.72,85.81,84.95,81.24,83.51,88.95,86.42,84.25
